排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,PowerToys,microsoft/PowerToys,microsoft,Microsoft PowerToys is a collection of utilities that help you customize Windows and streamline everyday tasks,C#,125398,7459,7535,2019-05-01T17:44:02Z,2025-11-03T01:11:31Z,https://github.com/microsoft/PowerToys,,MIT License,455935,False,False
2,v2rayN,2dust/v2rayN,2dust,"A GUI client for Windows, Linux and macOS, support Xray and sing-box and others",C#,89273,13561,6,2019-07-30T03:47:24Z,2025-11-03T01:34:57Z,https://github.com/2dust/v2rayN,https://v2rayn.2dust.link,GNU General Public License v3.0,44529,False,False
3,shadowsocks-windows,shadowsocks/shadowsocks-windows,shadowsocks,A C# port of shadowsocks,C#,59110,16342,199,2013-01-14T07:54:16Z,2025-11-02T16:57:55Z,https://github.com/shadowsocks/shadowsocks-windows,,Other,13489,False,False
4,PowerShell,PowerShell/PowerShell,PowerShell,PowerShell for every system!,C#,50665,8052,1333,2016-01-13T23:41:35Z,2025-11-03T00:37:21Z,https://github.com/PowerShell/PowerShell,https://microsoft.com/PowerShell,MIT License,101195,False,False
5,jellyfin,jellyfin/jellyfin,jellyfin,The Free Software Media System - Server Backend & API,C#,45300,4082,696,2018-12-09T06:36:45Z,2025-11-03T02:00:36Z,https://github.com/jellyfin/jellyfin,https://jellyfin.org,GNU General Public License v2.0,69894,False,False
6,Files,files-community/Files,files-community,A modern file manager that helps users organize their files and folders.,C#,39961,2491,493,2019-01-04T18:19:14Z,2025-11-03T00:42:27Z,https://github.com/files-community/Files,https://files.community,MIT License,263086,False,False
7,aspnetcore,dotnet/aspnetcore,dotnet,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",C#,37339,10475,3518,2014-03-11T06:09:42Z,2025-11-03T01:04:23Z,https://github.com/dotnet/aspnetcore,https://asp.net,MIT License,368563,False,False
8,RevokeMsgPatcher,huiyadanli/RevokeMsgPatcher,huiyadanli,:trollface: A hex editor for WeChat/QQ/TIM - PC版微信/QQ/TIM防撤回补丁（我已经看到了，撤回也没用了）,C#,35073,3797,58,2019-07-21T15:12:52Z,2025-11-03T01:56:55Z,https://github.com/huiyadanli/RevokeMsgPatcher,,GNU General Public License v3.0,3739,False,False
9,ShareX,ShareX/ShareX,ShareX,"ShareX is a free and open-source application that enables users to capture or record any area of their screen with a single keystroke. It also supports uploading images, text, and various file types to a wide range of destinations.",C#,34236,3503,562,2013-10-08T23:32:10Z,2025-11-02T16:57:34Z,https://github.com/ShareX/ShareX,https://getsharex.com,GNU General Public License v3.0,63695,False,False
10,DevToys,DevToys-app/DevToys,DevToys-app,A Swiss Army knife for developers.,C#,30333,1669,294,2021-09-29T01:40:41Z,2025-11-03T00:58:39Z,https://github.com/DevToys-app/DevToys,https://devtoys.app/,MIT License,229048,False,False
11,Avalonia,AvaloniaUI/Avalonia,AvaloniaUI,"Develop Desktop, Embedded, Mobile and WebAssembly apps with C# and XAML. The most popular .NET UI client technology",C#,29093,2520,1845,2013-12-05T20:13:21Z,2025-11-02T23:33:43Z,https://github.com/AvaloniaUI/Avalonia,https://avaloniaui.net,MIT License,189738,False,False
