排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,tensorflow,tensorflow/tensorflow,tensorflow,An Open Source Machine Learning Framework for Everyone,C++,191130,74762,1535,2015-11-07T01:19:20Z,2025-08-11T01:56:02Z,https://github.com/tensorflow/tensorflow,https://tensorflow.org,Apache License 2.0,1189107,False,False
2,react-native,facebook/react-native,facebook,A framework for building native applications using React,C++,123359,24790,1080,2015-01-09T18:10:16Z,2025-08-11T01:59:14Z,https://github.com/facebook/react-native,https://reactnative.dev,MIT License,931271,False,False
3,electron,electron/electron,electron,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",C++,117827,16287,870,2013-04-12T01:47:36Z,2025-08-11T01:41:44Z,https://github.com/electron/electron,https://electronjs.org,MIT License,178842,False,False
4,godot,godotengine/godot,godotengine,Godot Engine – Multi-platform 2D and 3D game engine,C++,99767,22964,16077,2014-01-04T16:05:36Z,2025-08-11T01:27:09Z,https://github.com/godotengine/godot,https://godotengine.org,MIT License,1621165,False,False
5,terminal,microsoft/terminal,microsoft,"The new Windows Terminal and the original Windows console host, all in the same place!",C++,99145,8684,1651,2017-08-11T18:38:22Z,2025-08-11T01:08:49Z,https://github.com/microsoft/terminal,,MIT License,156170,False,False
6,bitcoin,bitcoin/bitcoin,bitcoin,Bitcoin Core integration/staging tree,C++,84968,37625,754,2010-12-19T15:16:43Z,2025-08-11T01:55:33Z,https://github.com/bitcoin/bitcoin,https://bitcoincore.org/en/download,MIT License,291031,False,False
7,llama.cpp,ggml-org/llama.cpp,ggml-org,LLM inference in C/C++,C++,84493,12648,812,2023-03-10T18:58:00Z,2025-08-11T02:08:44Z,https://github.com/ggml-org/llama.cpp,,MIT License,143796,False,False
8,opencv,opencv/opencv,opencv,Open Source Computer Vision Library,C++,83457,56246,2765,2012-07-19T09:40:17Z,2025-08-10T20:29:42Z,https://github.com/opencv/opencv,https://opencv.org,Apache License 2.0,547983,False,False
9,gpt4all,nomic-ai/gpt4all,nomic-ai,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,C++,74284,8089,727,2023-03-27T18:49:32Z,2025-08-11T02:08:31Z,https://github.com/nomic-ai/gpt4all,https://nomic.ai/gpt4all,MIT License,44678,False,False
10,swift,swiftlang/swift,swiftlang,The Swift Programming Language,C++,68939,10518,8446,2015-10-23T21:15:07Z,2025-08-11T01:41:44Z,https://github.com/swiftlang/swift,https://swift.org,Apache License 2.0,1265414,False,False
11,protobuf,protocolbuffers/protobuf,protocolbuffers,Protocol Buffers - Google's data interchange format,C++,68752,15821,495,2014-08-26T15:52:15Z,2025-08-10T22:46:23Z,https://github.com/protocolbuffers/protobuf,http://protobuf.dev,Other,195606,False,False
12,tesseract,tesseract-ocr/tesseract,tesseract-ocr,Tesseract Open Source OCR Engine (main repository),C++,68737,10115,452,2014-08-12T18:04:59Z,2025-08-11T00:47:18Z,https://github.com/tesseract-ocr/tesseract,https://tesseract-ocr.github.io/,Apache License 2.0,53645,False,False
13,imgui,ocornut/imgui,ocornut,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies,C++,67479,11116,1179,2014-07-21T14:29:47Z,2025-08-11T01:50:35Z,https://github.com/ocornut/imgui,,MIT License,109263,False,False
14,ImHex,WerWolv/ImHex,WerWolv,"🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM.",C++,50025,2199,248,2020-11-10T14:27:00Z,2025-08-11T01:26:21Z,https://github.com/WerWolv/ImHex,https://imhex.werwolv.net,GNU General Public License v2.0,47180,False,False
15,json,nlohmann/json,nlohmann,JSON for Modern C++,C++,46783,7086,101,2013-07-04T08:47:49Z,2025-08-11T02:05:45Z,https://github.com/nlohmann/json,https://json.nlohmann.me,MIT License,225806,False,False
