排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,linux,torvalds/linux,torvalds,Linux kernel source tree,C,245345,64216,3,2011-09-04T22:48:12Z,2026-08-31T04:52:00Z,https://github.com/torvalds/linux,,Other,6359477,False,False
2,scrcpy,Genymobile/scrcpy,Genymobile,Display and control your Android device,C,148589,13663,2889,2017-11-21T18:00:27Z,2026-08-31T04:52:00Z,https://github.com/Genymobile/scrcpy,,Apache License 2.0,8977,False,False
3,PowerToys,microsoft/PowerToys,microsoft,Microsoft PowerToys is a collection of utilities that supercharge productivity and customization on Windows,C,138233,8530,7632,2019-05-01T17:44:02Z,2026-08-31T04:47:47Z,https://github.com/microsoft/PowerToys,,MIT License,518909,False,False
4,Ventoy,ventoy/Ventoy,ventoy,A new bootable USB solution.,C,79040,4912,1021,2020-03-10T15:19:19Z,2026-08-31T03:55:25Z,https://github.com/ventoy/Ventoy,https://www.ventoy.net,GNU General Public License v3.0,228575,False,False
5,redis,redis/redis,redis,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",C,76151,24767,2922,2009-03-21T22:32:25Z,2026-08-31T02:32:26Z,https://github.com/redis/redis,http://redis.io,Other,215973,False,False
6,obs-studio,obsproject/obs-studio,obsproject,OBS Studio - Free and open source software for live streaming and screen recording,C,75637,9953,1171,2013-10-01T02:40:31Z,2026-08-31T04:46:10Z,https://github.com/obsproject/obs-studio,https://obsproject.com,GNU General Public License v2.0,82426,False,False
7,codegraph,colbymchenry/codegraph,colbymchenry,"Pre-indexed code knowledge graph, auto syncs on code changes, for Claude Code, Codex, Gemini, Cursor, OpenCode, AntiGravity, Kiro, CoPilot, and Hermes Agent — fewer tokens, fewer tool calls, 100% local",C,68734,4392,460,2026-01-18T21:45:37Z,2026-08-31T04:50:12Z,https://github.com/colbymchenry/codegraph,https://colbymchenry.github.io/codegraph/,MIT License,18422,False,False
8,FFmpeg,FFmpeg/FFmpeg,FFmpeg,Mirror of https://git.ffmpeg.org/ffmpeg.git,C,63807,14223,3,2011-04-14T14:12:38Z,2026-08-31T04:25:57Z,https://github.com/FFmpeg/FFmpeg,https://ffmpeg.org/,Other,493517,False,False
9,git,git/git,git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,C,62914,28327,388,2008-07-23T14:21:26Z,2026-08-31T04:36:13Z,https://github.com/git/git,,Other,317025,False,False
10,tmux,tmux/tmux,tmux,tmux source code,C,48924,2862,43,2015-06-03T23:32:55Z,2026-08-31T04:27:13Z,https://github.com/tmux/tmux,,ISC License,22681,False,False
11,curl,curl/curl,curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, MQTTS, POP3, POP3S, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,42717,7335,52,2010-03-18T22:32:22Z,2026-08-31T03:59:41Z,https://github.com/curl/curl,https://curl.se/,Other,145823,False,False
12,codebase-memory-mcp,DeusData/codebase-memory-mcp,DeusData,"High-performance code intelligence MCP server. Indexes codebases into a persistent knowledge graph — average repo in milliseconds. 158 languages, sub-ms queries, 99% fewer tokens. Single static binary, zero dependencies.",C,41344,3369,543,2026-02-24T22:01:00Z,2026-08-31T04:47:17Z,https://github.com/DeusData/codebase-memory-mcp,https://deusdata.github.io/codebase-memory-mcp/,MIT License,194285,False,False
13,wrk,wg/wrk,wg,Modern HTTP benchmarking tool,C,40402,3033,203,2012-03-20T11:12:28Z,2026-08-30T12:02:23Z,https://github.com/wg/wrk,,Other,38743,False,False
14,php-src,php/php-src,php,The PHP Interpreter,C,40352,8140,2025,2011-06-16T01:52:25Z,2026-08-31T00:20:20Z,https://github.com/php/php-src,https://www.php.net,"BSD 3-Clause ""New"" or ""Revised"" License",653309,False,False
15,rufus,pbatard/rufus,pbatard,The Reliable USB Formatting Utility,C,37489,3151,12,2011-11-19T19:12:05Z,2026-08-31T02:48:34Z,https://github.com/pbatard/rufus,https://rufus.ie,GNU General Public License v3.0,43976,False,False
16,mpv,mpv-player/mpv,mpv-player,🎥 Command line media player,C,36765,3509,1149,2012-10-13T08:08:44Z,2026-08-31T03:46:59Z,https://github.com/mpv-player/mpv,https://mpv.io,Other,121062,False,False
17,jq,jqlang/jq,jqlang,Command-line JSON processor,C,35520,1828,474,2012-07-18T19:57:25Z,2026-08-31T04:35:47Z,https://github.com/jqlang/jq,https://jqlang.org,Other,8059,False,False
18,stb,nothings/stb,nothings,stb single-file public domain libraries for C/C++,C,34552,8076,417,2014-05-25T16:51:23Z,2026-08-31T04:19:37Z,https://github.com/nothings/stb,https://nothings.org,Other,5759,False,False
19,raylib,raysan5/raylib,raysan5,A simple and easy-to-use library to enjoy videogames programming,C,34536,3259,16,2013-10-24T15:46:04Z,2026-08-31T03:15:07Z,https://github.com/raysan5/raylib,http://www.raylib.com,zlib License,421099,False,False
