排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,FiraCode,tonsky/FiraCode,tonsky,Free monospaced font with programming ligatures,Clojure,81386,3183,426,2014-11-11T19:32:38Z,2026-04-05T23:11:48Z,https://github.com/tonsky/FiraCode,,SIL Open Font License 1.1,90581,False,False
2,metabase,metabase/metabase,metabase,The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data :bar_chart:,Clojure,46749,6363,4040,2015-02-02T19:25:47Z,2026-04-06T02:30:31Z,https://github.com/metabase/metabase,https://metabase.com,Other,1743924,False,False
3,penpot,penpot/penpot,penpot,Penpot: The open-source design tool for design and code collaboration,Clojure,45200,2653,583,2015-12-29T22:09:07Z,2026-04-06T02:51:49Z,https://github.com/penpot/penpot,https://penpot.app,Mozilla Public License 2.0,343171,False,False
4,logseq,logseq/logseq,logseq,"A privacy-first, open-source platform for knowledge management and collaboration. Download link:  http://github.com/logseq/logseq/releases. roadmap: https://discuss.logseq.com/t/logseq-product-roadmap/34267",Clojure,41882,2545,995,2020-05-23T00:06:06Z,2026-04-06T02:22:07Z,https://github.com/logseq/logseq,https://logseq.com,GNU Affero General Public License v3.0,162282,False,False
5,LightTable,LightTable/LightTable,LightTable,The Light Table IDE ⛺,Clojure,11703,913,181,2012-06-27T22:32:43Z,2026-03-29T14:42:18Z,https://github.com/LightTable/LightTable,www.lighttable.com,MIT License,19648,False,True
6,clojurescript,clojure/clojurescript,clojure,Clojure to JS compiler,Clojure,9386,786,6,2011-07-20T23:29:13Z,2026-04-05T08:55:51Z,https://github.com/clojure/clojurescript,,Eclipse Public License 1.0,18707,False,False
7,jepsen,jepsen-io/jepsen,jepsen-io,"A framework for distributed systems verification, with fault injection",Clojure,7348,747,67,2013-04-14T19:20:27Z,2026-04-04T15:06:06Z,https://github.com/jepsen-io/jepsen,,,47751,False,False
8,leiningen,technomancy/leiningen,technomancy,Moved to Codeberg; this is a convenience mirror,Clojure,7311,1580,94,2009-11-01T05:50:07Z,2026-04-05T16:51:08Z,https://github.com/technomancy/leiningen,https://codeberg.org/leiningen/leiningen,Other,7548,False,False
9,om,omcljs/om,omcljs,ClojureScript interface to Facebook's React,Clojure,6636,353,80,2013-12-11T18:18:11Z,2026-03-30T17:53:50Z,https://github.com/omcljs/om,,,2181,False,False
10,athens,athensresearch/athens,athensresearch,"Athens is no longer maintainted. Athens was an open-source, collaborative knowledge graph, backed by YC W21",Clojure,6310,399,316,2020-03-31T01:29:41Z,2026-04-01T16:06:56Z,https://github.com/athensresearch/athens,https://athensresearch.github.io/athens,Other,78287,False,False
11,overtone,overtone/overtone,overtone,Collaborative Programmable Music ,Clojure,6168,454,95,2010-08-23T12:19:57Z,2026-04-05T16:08:37Z,https://github.com/overtone/overtone,http://overtone.github.io,Other,9450,False,False
12,datascript,tonsky/datascript,tonsky,"Immutable database and Datalog query engine for Clojure, ClojureScript and JS",Clojure,5731,317,80,2014-04-15T12:58:22Z,2026-04-06T01:57:14Z,https://github.com/tonsky/datascript,,Eclipse Public License 1.0,1931,False,False
13,re-frame,day8/re-frame,day8,"A ClojureScript framework for building user interfaces, leveraging React",Clojure,5525,714,24,2014-12-05T11:08:39Z,2026-04-04T07:48:04Z,https://github.com/day8/re-frame,http://day8.github.io/re-frame/,MIT License,100565,False,False
14,reagent,reagent-project/reagent,reagent-project,A minimalistic ClojureScript interface to React.js,Clojure,4862,412,26,2013-12-18T18:12:03Z,2026-04-03T09:21:38Z,https://github.com/reagent-project/reagent,http://reagent-project.github.io/,MIT License,4441,False,False
15,babashka,babashka/babashka,babashka,"Native, fast starting Clojure interpreter for scripting",Clojure,4462,267,36,2019-08-09T12:53:24Z,2026-04-05T17:18:51Z,https://github.com/babashka/babashka,https://babashka.org,Eclipse Public License 1.0,12090,False,False
16,riemann,riemann/riemann,riemann,"A network event stream processing system, in Clojure.",Clojure,4261,504,29,2012-02-08T07:51:32Z,2026-04-05T20:42:30Z,https://github.com/riemann/riemann,https://riemann.io,Eclipse Public License 1.0,7684,False,False
17,compojure,weavejester/compojure,weavejester,A concise routing library for Ring/Clojure,Clojure,4116,260,7,2008-05-01T00:31:39Z,2026-04-05T19:00:39Z,https://github.com/weavejester/compojure,,Eclipse Public License 1.0,5866,False,False
18,status-legacy,status-im/status-legacy,status-im,"a free (libre) open source, mobile OS for Ethereum",Clojure,4016,997,471,2016-02-22T21:48:48Z,2026-04-05T02:04:49Z,https://github.com/status-im/status-legacy,https://status.app,Mozilla Public License 2.0,489168,False,False
19,ring,ring-clojure/ring,ring-clojure,Clojure HTTP server abstraction,Clojure,3871,527,42,2012-04-29T11:15:06Z,2026-04-02T19:00:50Z,https://github.com/ring-clojure/ring,,MIT License,7534,False,False
20,clojure-koans,functional-koans/clojure-koans,functional-koans,A set of exercises for learning Clojure,Clojure,3795,2136,9,2010-11-02T22:12:23Z,2026-04-01T21:23:49Z,https://github.com/functional-koans/clojure-koans,,,283,False,False
21,icepick,frankiesardo/icepick,frankiesardo,Android Instance State made easy,Clojure,3729,204,26,2013-07-13T16:43:09Z,2026-03-29T11:14:19Z,https://github.com/frankiesardo/icepick,,Eclipse Public License 1.0,945,False,False
22,maelstrom,jepsen-io/maelstrom,jepsen-io,A workbench for writing toy implementations of distributed systems.,Clojure,3544,203,18,2017-04-12T20:47:04Z,2026-04-05T20:35:48Z,https://github.com/jepsen-io/maelstrom,,Eclipse Public License 1.0,1311,False,False
23,swarmpit,swarmpit/swarmpit,swarmpit,Lightweight mobile-friendly Docker Swarm management UI,Clojure,3419,314,194,2017-02-06T09:46:42Z,2026-04-02T11:09:20Z,https://github.com/swarmpit/swarmpit,https://swarmpit.io,Eclipse Public License 1.0,6888,False,False
24,mori,swannodette/mori,swannodette,ClojureScript's persistent data structures and supporting API from the comfort of vanilla JavaScript,Clojure,3373,145,64,2012-05-11T02:23:01Z,2026-03-16T21:24:46Z,https://github.com/swannodette/mori,http://swannodette.github.io/mori,,272,False,False
25,quil,quil/quil,quil,Main repo. Quil source code.,Clojure,3037,169,48,2012-03-05T08:20:54Z,2026-04-02T20:13:02Z,https://github.com/quil/quil,,Eclipse Public License 1.0,10980,False,False
