排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,flutter,flutter/flutter,flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,Dart,172375,29181,12252,2015-03-06T22:54:58Z,2025-09-15T01:40:54Z,https://github.com/flutter/flutter,https://flutter.dev,"BSD 3-Clause ""New"" or ""Revised"" License",406332,False,False
2,localsend,localsend/localsend,localsend,An open-source cross-platform alternative to AirDrop,Dart,67417,3606,824,2022-12-16T00:46:07Z,2025-09-15T01:42:45Z,https://github.com/localsend/localsend,https://localsend.org,Apache License 2.0,16540,False,False
3,AppFlowy,AppFlowy-IO/AppFlowy,AppFlowy-IO,"Bring projects, wikis, and teams together with AI. AppFlowy is the AI collaborative workspace where you achieve more without losing control of your data. The leading open source Notion alternative.",Dart,65437,4546,989,2021-06-16T12:56:48Z,2025-09-15T00:57:24Z,https://github.com/AppFlowy-IO/AppFlowy,https://appflowy.com,GNU Affero General Public License v3.0,93789,False,False
4,awesome-flutter,Solido/awesome-flutter,Solido,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.",Dart,57215,6793,30,2017-05-07T11:45:27Z,2025-09-15T01:26:16Z,https://github.com/Solido/awesome-flutter,,,3510,False,False
5,spotube,KRTirtho/spotube,KRTirtho,🎧 Open source music client! Available for both desktop & mobile!,Dart,41280,1778,626,2021-02-14T03:17:58Z,2025-09-15T01:41:40Z,https://github.com/KRTirtho/spotube,https://spotube.krtirtho.dev/,Other,144695,False,False
6,flutter-go,alibaba/flutter-go,alibaba,flutter 开发者帮助 APP，包含 flutter 常用 140+ 组件的demo 演示与中文文档,Dart,23714,3793,192,2019-01-08T09:03:40Z,2025-09-15T00:46:21Z,https://github.com/alibaba/flutter-go,https://flutter-go.pub/website/,Other,117712,False,False
7,hiddify-app,hiddify/hiddify-app,hiddify,"Multi-platform auto-proxy client, supporting Sing-box, X-ray, TUIC, Hysteria, Reality, Trojan, SSH etc. It’s an open-source, secure and ad-free.",Dart,23265,2042,540,2023-05-21T11:30:14Z,2025-09-15T01:03:39Z,https://github.com/hiddify/hiddify-app,https://hiddify.com,Other,11821,False,False
8,revanced-manager,ReVanced/revanced-manager,ReVanced,💊 Application to use ReVanced on Android ,Dart,23187,910,141,2022-03-18T19:38:55Z,2025-09-15T01:42:02Z,https://github.com/ReVanced/revanced-manager,https://revanced.app,GNU General Public License v3.0,26857,False,False
9,Best-Flutter-UI-Templates,mitesh77/Best-Flutter-UI-Templates,mitesh77,completely free for everyone. Its build-in Flutter Dart.,Dart,22052,4767,15,2019-09-02T08:36:18Z,2025-09-14T19:08:00Z,https://github.com/mitesh77/Best-Flutter-UI-Templates,,Other,178165,False,False
10,FlClash,chen08209/FlClash,chen08209,"A multi-platform proxy client based on ClashMeta,simple and easy to use, open-source and ad-free.",Dart,21860,1300,310,2023-08-15T07:47:22Z,2025-09-15T01:54:46Z,https://github.com/chen08209/FlClash,,GNU General Public License v3.0,54839,False,False
11,ente,ente-io/ente,ente-io,"🔒 End-to-end encrypted cloud for photos, videos and 2FA secrets.",Dart,21726,1231,425,2022-11-01T06:10:25Z,2025-09-15T00:41:50Z,https://github.com/ente-io/ente,https://ente.io,GNU Affero General Public License v3.0,609044,False,False
12,FlutterExampleApps,iampawan/FlutterExampleApps,iampawan,"[Example APPS] Basic Flutter apps, for flutter devs.",Dart,21254,3822,36,2018-04-13T10:47:06Z,2025-09-14T17:24:15Z,https://github.com/iampawan/FlutterExampleApps,,,112899,False,False
13,gopeed,GopeedLab/gopeed,GopeedLab,A modern download manager that supports all platforms.  Built with Golang and Flutter.,Dart,20322,1410,212,2019-04-21T07:23:32Z,2025-09-15T00:27:39Z,https://github.com/GopeedLab/gopeed,https://gopeed.com,GNU General Public License v3.0,4918,False,False
14,samples,flutter/samples,flutter,A collection of Flutter examples and demos,Dart,18533,7776,62,2018-06-08T21:28:03Z,2025-09-14T20:54:52Z,https://github.com/flutter/samples,https://flutter.github.io/samples/,Other,446571,False,False
15,plugins,flutter/plugins,flutter,Plugins for Flutter maintained by the Flutter team,Dart,17644,9747,1,2017-04-18T17:02:37Z,2025-09-14T06:31:47Z,https://github.com/flutter/plugins,https://flutter.dev/,"BSD 3-Clause ""New"" or ""Revised"" License",36203,False,True
16,Kazumi,Predidit/Kazumi,Predidit,基于自定义规则的番剧采集APP，支持流媒体在线观看，支持弹幕，支持实时超分辨率。,Dart,15724,445,292,2024-05-09T01:56:22Z,2025-09-15T01:47:21Z,https://github.com/Predidit/Kazumi,,GNU General Public License v3.0,24904,False,False
17,gsy_github_app_flutter,CarGuo/gsy_github_app_flutter,CarGuo,Flutter 超完整的开源项目，功能丰富，适合学习和日常使用。GSYGithubApp系列的优势：我们目前已经拥有Flutter、Weex、ReactNative、kotlin 四个版本。 功能齐全，项目框架内技术涉及面广，完成度高，持续维护，配套文章，适合全面学习，对比参考。跨平台的开源Github客户端App，更好的体验，更丰富的功能，旨在更好的日常管理和维护个人Github，提供更好更方便的驾车体验Σ(￣。￣ﾉ)ﾉ。同款Weex版本 ： https://github.com/CarGuo/GSYGithubAppWeex    、同款React Native版本 ： https://github.com/CarGuo/GSYGithubApp 、原生 kotlin 版本 https://github.com/CarGuo/GSYGithubAppKotlin,Dart,15254,2596,4,2018-07-25T14:02:38Z,2025-09-14T16:14:31Z,https://github.com/CarGuo/gsy_github_app_flutter,https://juejin.im/user/582aca2ba22b9d006b59ae68/posts,Apache License 2.0,36753,False,False
18,dart_simple_live,xiaoyaocz/dart_simple_live,xiaoyaocz,简简单单的看直播,Dart,13054,1378,268,2023-02-27T07:30:34Z,2025-09-15T00:33:13Z,https://github.com/xiaoyaocz/dart_simple_live,,GNU General Public License v3.0,17303,False,False
19,dio,cfug/dio,cfug,"A powerful HTTP client for Dart and Flutter, which supports global settings, Interceptors, FormData, aborting and canceling a request, files uploading and downloading, requests timeout, custom adapters, etc.",Dart,12708,1541,34,2018-04-20T04:33:43Z,2025-09-13T10:38:54Z,https://github.com/cfug/dio,https://dio.pub,MIT License,4695,False,False
20,Obtainium,ImranR98/Obtainium,ImranR98,Get Android app updates straight from the source.,Dart,12599,307,289,2022-08-11T00:16:36Z,2025-09-15T01:28:59Z,https://github.com/ImranR98/Obtainium,https://obtainium.imranr.dev,GNU General Public License v3.0,11875,False,False
21,pilipala,guozhigq/pilipala,guozhigq,PiliPala 是使用Flutter开发的BiliBili第三方客户端，感谢使用。,Dart,12470,888,749,2023-04-18T02:14:12Z,2025-09-15T00:39:37Z,https://github.com/guozhigq/pilipala,https://pilipala.life,GNU General Public License v3.0,17701,False,False
22,bloc,felangel/bloc,felangel,A predictable state management library that helps implement the BLoC design pattern,Dart,12271,3420,75,2018-10-07T19:32:59Z,2025-09-14T19:43:54Z,https://github.com/felangel/bloc,https://bloclibrary.dev,MIT License,65391,False,False
23,getx,jonataslaw/getx,jonataslaw,"Open screens/snackbars/dialogs/bottomSheets without context, manage states and inject dependencies easily with Get.",Dart,10998,1694,1138,2019-11-14T01:16:25Z,2025-09-13T13:04:08Z,https://github.com/jonataslaw/getx,,MIT License,34456,False,False
24,sdk,dart-lang/sdk,dart-lang,"The Dart SDK, including the VM, JS and Wasm compilers, analysis, core libraries, and more.",Dart,10784,1684,8279,2015-05-16T14:14:58Z,2025-09-15T01:31:12Z,https://github.com/dart-lang/sdk,https://dart.dev,"BSD 3-Clause ""New"" or ""Revised"" License",1541543,False,False
25,opensource-ecommerce-mobile-app,bagisto/opensource-ecommerce-mobile-app,bagisto,"This open-source mobile ecommerce app seamlessly transforms your Bagisto store into a powerful mobile platform, providing real-time synchronization of products and categories. ",Dart,10552,207,1,2023-10-25T13:01:19Z,2025-09-14T20:00:40Z,https://github.com/bagisto/opensource-ecommerce-mobile-app,https://bagisto.com/en/open-source-ecommerce-mobile-app/,MIT License,4764,False,False
26,proxypin,wanghongenpin/proxypin,wanghongenpin,"Open source free capture HTTP(S) traffic  software ProxyPin, supporting full platform systems",Dart,10234,882,66,2023-06-05T11:16:00Z,2025-09-15T01:10:49Z,https://github.com/wanghongenpin/proxypin,,Apache License 2.0,9355,False,False
27,flame,flame-engine/flame,flame-engine,A Flutter based game engine.,Dart,10158,983,119,2017-10-22T03:01:50Z,2025-09-14T19:35:23Z,https://github.com/flame-engine/flame,https://flame-engine.org,MIT License,66014,False,False
28,pixez-flutter,Notsfsssf/pixez-flutter,Notsfsssf,一个支持免代理直连及查看动图的第三方Pixiv flutter客户端,Dart,9693,371,436,2019-11-02T07:19:12Z,2025-09-15T01:17:53Z,https://github.com/Notsfsssf/pixez-flutter,,GNU General Public License v3.0,188766,False,False
29,flutterfire,firebase/flutterfire,firebase,🔥 A collection of Firebase plugins for Flutter apps.,Dart,9031,4084,197,2019-08-14T21:38:05Z,2025-09-14T12:35:03Z,https://github.com/firebase/flutterfire,https://firebase.google.com/docs/flutter/setup,"BSD 3-Clause ""New"" or ""Revised"" License",64601,False,False
30,FlutterDouBan,kaina404/FlutterDouBan,kaina404,"🔥🔥🔥Flutter豆瓣客户端,Awesome Flutter Project,全网最100%还原豆瓣客户端。首页、书影音、小组、市集及个人中心，一个不拉。（ https://img.xuvip.top/douyademo.mp4）",Dart,9024,1877,53,2019-01-21T12:52:02Z,2025-09-15T00:29:25Z,https://github.com/kaina404/FlutterDouBan,,,159159,False,False
31,flutter_architecture_samples,brianegan/flutter_architecture_samples,brianegan,TodoMVC for Flutter,Dart,8845,1714,47,2017-11-25T19:08:14Z,2025-09-13T22:12:15Z,https://github.com/brianegan/flutter_architecture_samples,http://fluttersamples.com/,"BSD 3-Clause ""New"" or ""Revised"" License",5997,False,False
32,FlutterUnit,toly1994328/FlutterUnit,toly1994328,All Platform Flutter Experience App ,Dart,8575,1374,64,2020-03-19T23:47:07Z,2025-09-14T01:26:09Z,https://github.com/toly1994328/FlutterUnit,,GNU General Public License v3.0,46952,False,False
33,PicaComic,wgh136/PicaComic,wgh136,"A comic app built with Flutter, supporting multiple comic sources.",Dart,8389,1013,56,2023-02-06T06:30:31Z,2025-09-14T18:08:44Z,https://github.com/wgh136/PicaComic,,MIT License,113983,False,True
34,flutter_deer,simplezhli/flutter_deer,simplezhli,🦌 Flutter 练习项目(包括集成测试、可访问性测试)。内含完整UI设计图，更贴近真实项目的练习。Flutter practice project (including integration testing and accessibility testing). Contains complete UI design drawings for a more realistic practice project.,Dart,8370,1730,2,2019-06-12T13:10:34Z,2025-09-12T16:16:03Z,https://github.com/simplezhli/flutter_deer,https://simplezhli.github.io/flutter_deer/,Apache License 2.0,80389,False,False
35,keyviz,mulaRahul/keyviz,mulaRahul,Keyviz is a free and open-source tool to visualize your keystrokes ⌨️ and 🖱️ mouse actions in real-time.,Dart,8275,279,65,2022-07-22T13:03:59Z,2025-09-14T21:32:47Z,https://github.com/mulaRahul/keyviz,https://mularahul.github.io/keyviz,GNU General Public License v3.0,4052,False,False
36,pikapika,ComicSparks/pikapika,ComicSparks,A comic browser，support Android / iOS / MacOS / Windows / Linux.,Dart,7481,471,40,2021-07-27T01:25:07Z,2025-09-14T16:26:58Z,https://github.com/ComicSparks/pikapika,,MIT License,7515,False,False
37,fish-redux,alibaba/fish-redux,alibaba,An assembled flutter application framework.,Dart,7309,843,165,2019-03-05T06:09:00Z,2025-09-11T19:43:45Z,https://github.com/alibaba/fish-redux,https://github.com/alibaba/fish-redux,Apache License 2.0,833,False,False
38,fl_chart,imaNNeo/fl_chart,imaNNeo,"FL Chart is a highly customizable Flutter chart library that supports Line Chart, Bar Chart, Pie Chart, Scatter Chart, Radar Chart and Candlestick Chart.",Dart,7281,1917,392,2019-05-12T13:00:57Z,2025-09-14T18:40:11Z,https://github.com/imaNNeo/fl_chart,https://flchart.dev,MIT License,81022,False,False
39,Flutter-Notebook,OpenFlutter/Flutter-Notebook,OpenFlutter,FlutterDemo合集，今天你fu了吗,Dart,7227,1194,0,2018-07-26T12:39:03Z,2025-09-13T15:39:44Z,https://github.com/OpenFlutter/Flutter-Notebook,,Apache License 2.0,52523,False,False
40,flutter_boost,alibaba/flutter_boost,alibaba,FlutterBoost is a Flutter plugin which enables hybrid integration of Flutter for your existing native apps with minimum efforts,Dart,7138,1248,391,2019-03-06T03:26:28Z,2025-09-14T07:27:15Z,https://github.com/alibaba/flutter_boost,https://github.com/alibaba/flutter_boost,MIT License,212084,False,False
41,flutter-examples,nisrulz/flutter-examples,nisrulz,"[Examples] Simple basic isolated apps, for budding flutter devs.",Dart,7103,1662,15,2017-08-11T08:11:07Z,2025-09-14T19:44:48Z,https://github.com/nisrulz/flutter-examples,https://nisrulz.com/flutter-examples/,Apache License 2.0,96535,False,False
42,Flutter-Responsive-Admin-Panel-or-Dashboard,abuanwar072/Flutter-Responsive-Admin-Panel-or-Dashboard,abuanwar072,Responsive Admin Panel or Dashboard using Flutter,Dart,7018,1978,32,2021-05-03T05:37:39Z,2025-09-12T19:18:36Z,https://github.com/abuanwar072/Flutter-Responsive-Admin-Panel-or-Dashboard,https://youtu.be/_uOgXpEHNbc,MIT License,32965,False,False
43,riverpod,rrousselGit/riverpod,rrousselGit,A reactive caching and data-binding framework.   Riverpod makes working with asynchronous code a breeze.,Dart,6880,1019,103,2020-04-16T10:40:29Z,2025-09-14T10:59:54Z,https://github.com/rrousselGit/riverpod,https://riverpod.dev,MIT License,38533,False,False
44,aidea,mylxsw/aidea,mylxsw,AIdea 是一款支持 GPT  以及国产大语言模型通义千问、文心一言等，支持 Stable Diffusion 文生图、图生图、 SDXL1.0、超分辨率、图片上色的全能型 APP。,Dart,6873,1044,23,2023-08-30T03:31:56Z,2025-09-13T15:40:31Z,https://github.com/mylxsw/aidea,https://ai.aicode.cc,MIT License,80130,False,False
45,flutter-tips-and-tricks,vandadnp/flutter-tips-and-tricks,vandadnp,A Collection of Flutter and Dart Tips and Tricks,Dart,6845,1110,8,2021-03-29T04:56:41Z,2025-09-13T20:14:34Z,https://github.com/vandadnp/flutter-tips-and-tricks,https://linktr.ee/vandadnp,,440088,False,False
46,flutter_server_box,lollipopkit/flutter_server_box,lollipopkit,ServerBox - server status & toolbox,Dart,6800,439,75,2021-09-13T06:23:19Z,2025-09-15T00:28:45Z,https://github.com/lollipopkit/flutter_server_box,https://serverbox.lpkt.cn,GNU General Public License v3.0,21013,False,False
47,karing,KaringX/karing,KaringX,"Simple & Powerful proxy utility, Support routing rules for clash/sing-box",Dart,6799,587,20,2023-11-06T06:16:18Z,2025-09-15T00:16:47Z,https://github.com/KaringX/karing,https://karing.app,Other,84253,False,False
48,HistoryOfEverything,2d-inc/HistoryOfEverything,2d-inc,Flutter Launch Timeline Demo,Dart,6559,990,55,2018-09-29T21:03:02Z,2025-09-11T07:07:36Z,https://github.com/2d-inc/HistoryOfEverything,https://medium.com/2dimensions/the-history-of-everything-981d989e1b45,MIT License,10469,False,False
49,gallery,flutter/gallery,flutter,Flutter Gallery was a resource to help developers evaluate and use Flutter,Dart,6527,1546,48,2020-03-05T17:46:11Z,2025-09-12T20:13:08Z,https://github.com/flutter/gallery,,"BSD 3-Clause ""New"" or ""Revised"" License",54257,False,True
