排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,anoma,anoma/anoma,anoma,Reference implementation of Anoma,Elixir,34053,4113,133,2021-02-02T10:00:16Z,2026-02-22T18:53:21Z,https://github.com/anoma/anoma,https://anoma.net,MIT License,78350,False,False
2,elixir,elixir-lang/elixir,elixir-lang,"Elixir is a dynamic, functional language for building scalable and maintainable applications",Elixir,26455,3482,26,2011-01-09T08:43:57Z,2026-02-23T00:38:54Z,https://github.com/elixir-lang/elixir,https://elixir-lang.org/,Apache License 2.0,68844,False,False
3,analytics,plausible/analytics,plausible,"Simple, open source, lightweight and privacy-friendly web analytics alternative to Google Analytics.",Elixir,24265,1347,50,2018-12-04T22:33:36Z,2026-02-22T23:37:31Z,https://github.com/plausible/analytics,https://plausible.io,GNU Affero General Public License v3.0,545972,False,False
4,phoenix,phoenixframework/phoenix,phoenixframework,Peace of mind from prototype to production,Elixir,22895,3048,48,2014-01-20T14:14:11Z,2026-02-22T23:56:37Z,https://github.com/phoenixframework/phoenix,https://www.phoenixframework.org,MIT License,23515,False,False
5,awesome-elixir,h4cc/awesome-elixir,h4cc,"A curated list of amazingly awesome Elixir and Erlang libraries, resources and shiny things. Updates:",Elixir,13088,1186,10,2014-07-01T21:12:03Z,2026-02-22T05:54:20Z,https://github.com/h4cc/awesome-elixir,https://twitter.com/AwesomeElixir,MIT License,2794,False,False
6,electric,electric-sql/electric,electric-sql,"Read-path sync engine for Postgres that handles partial replication, data delivery and fan-out.",Elixir,9914,309,245,2022-06-01T14:18:11Z,2026-02-22T22:52:43Z,https://github.com/electric-sql/electric,https://electric-sql.com,Apache License 2.0,202135,False,False
7,firezone,firezone/firezone,firezone,Enterprise-ready zero-trust access platform built on WireGuard®.,Elixir,8418,403,461,2020-04-22T04:05:12Z,2026-02-23T01:49:06Z,https://github.com/firezone/firezone,https://www.firezone.dev,Apache License 2.0,209472,False,False
8,teslamate,teslamate-org/teslamate,teslamate-org,A self-hosted data logger for your Tesla  🚘 [main maintainer=@JakobLichterfeld],Elixir,7649,902,52,2019-03-31T20:27:26Z,2026-02-22T21:50:59Z,https://github.com/teslamate-org/teslamate,https://docs.teslamate.org,GNU Affero General Public License v3.0,90297,False,False
9,realtime,supabase/realtime,supabase,"Broadcast, Presence, and Postgres Changes via WebSockets",Elixir,7489,421,58,2019-09-23T12:15:45Z,2026-02-22T06:18:16Z,https://github.com/supabase/realtime,https://supabase.com/realtime,Apache License 2.0,10250,False,False
10,phoenix_live_view,phoenixframework/phoenix_live_view,phoenixframework,"Rich, real-time user experiences with server-rendered HTML",Elixir,6725,1032,77,2018-09-12T01:27:33Z,2026-02-22T23:56:59Z,https://github.com/phoenixframework/phoenix_live_view,https://hex.pm/packages/phoenix_live_view,MIT License,20725,False,False
11,ecto,elixir-ecto/ecto,elixir-ecto,A toolkit for data mapping and language integrated query.,Elixir,6437,1474,10,2013-06-12T18:42:06Z,2026-02-21T19:34:08Z,https://github.com/elixir-ecto/ecto,https://hexdocs.pm/ecto,Apache License 2.0,16370,False,False
12,papercups,papercups-io/papercups,papercups-io,Open-source live customer chat,Elixir,5929,556,174,2020-07-15T14:46:06Z,2026-02-21T16:43:22Z,https://github.com/papercups-io/papercups,https://app.papercups.io/demo,MIT License,4816,False,False
13,livebook,livebook-dev/livebook,livebook-dev,Automate code & data workflows with interactive Elixir notebooks,Elixir,5708,487,28,2021-01-07T19:57:18Z,2026-02-23T00:07:01Z,https://github.com/livebook-dev/livebook,https://livebook.dev,Apache License 2.0,128239,False,False
