排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,awesome-go,avelino/awesome-go,avelino,"A curated list of awesome Go frameworks, libraries and software",Go,179944,13451,199,2014-07-06T13:42:15Z,2026-08-03T03:25:46Z,https://github.com/avelino/awesome-go,https://awesome-go.com,MIT License,11774,False,False
2,ollama,ollama/ollama,ollama,"Get up and running with Kimi-K2.6, GLM-5.2, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",Go,177628,17240,3576,2023-06-26T19:39:32Z,2026-08-03T03:19:26Z,https://github.com/ollama/ollama,https://ollama.com,MIT License,90097,False,False
3,go,golang/go,golang,The Go programming language,Go,135528,19194,10218,2014-08-19T04:33:40Z,2026-08-03T03:27:39Z,https://github.com/golang/go,https://go.dev,"BSD 3-Clause ""New"" or ""Revised"" License",446926,False,False
4,kubernetes,kubernetes/kubernetes,kubernetes,Production-Grade Container Scheduling and Management,Go,124176,43700,2732,2014-06-06T22:56:04Z,2026-08-03T03:30:41Z,https://github.com/kubernetes/kubernetes,https://kubernetes.io,Apache License 2.0,1510336,False,False
5,frp,fatedier/frp,fatedier,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,Go,108520,15156,46,2015-12-21T15:24:59Z,2026-08-03T02:46:51Z,https://github.com/fatedier/frp,,Apache License 2.0,32437,False,False
6,hugo,gohugoio/hugo,gohugoio,The world’s fastest framework for building websites.,Go,89284,8323,230,2013-07-04T15:26:26Z,2026-08-03T03:28:21Z,https://github.com/gohugoio/hugo,https://gohugo.io,Apache License 2.0,144676,False,False
7,gin,gin-gonic/gin,gin-gonic,"Gin is a high-performance HTTP web framework written in Go. It provides a Martini-like API but with significantly better performance—up to 40 times faster—thanks to httprouter. Gin is designed for building REST APIs, web applications, and microservices.",Go,89012,8656,742,2014-06-16T23:57:25Z,2026-08-03T03:27:53Z,https://github.com/gin-gonic/gin,https://gin-gonic.com/,MIT License,10616,False,False
8,syncthing,syncthing/syncthing,syncthing,Open Source Continuous File Synchronization,Go,87203,5389,388,2013-11-26T09:48:21Z,2026-08-03T03:17:07Z,https://github.com/syncthing/syncthing,https://syncthing.net/,Mozilla Public License 2.0,127270,False,False
9,ragflow,infiniflow/ragflow,infiniflow,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,Go,86655,10179,2011,2023-12-12T06:13:13Z,2026-08-03T03:25:49Z,https://github.com/infiniflow/ragflow,https://ragflow.io,Apache License 2.0,146502,False,False
10,fzf,junegunn/fzf,junegunn,:cherry_blossom: A command-line fuzzy finder,Go,82206,2832,325,2013-10-23T16:04:23Z,2026-08-03T03:31:09Z,https://github.com/junegunn/fzf,https://junegunn.github.io/fzf/,MIT License,8469,False,False
