排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,computer-science,ossu/computer-science,ossu,🎓 Path to a free self-taught education in Computer Science!,HTML,205142,25492,25,2014-05-04T00:18:39Z,2026-06-22T04:59:14Z,https://github.com/ossu/computer-science,https://cs.ossu.dev,MIT License,1784,False,False
2,FreeDomain,DigitalPlatDev/FreeDomain,DigitalPlatDev,DigitalPlat FreeDomain: Free Domain For Everyone,HTML,179694,3658,33,2024-05-30T13:23:00Z,2026-06-22T04:59:46Z,https://github.com/DigitalPlatDev/FreeDomain,https://domain.digitalplat.org,GNU Affero General Public License v3.0,972,False,False
3,prompts.chat,f/prompts.chat,f,"f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",HTML,164059,21253,55,2022-12-05T13:54:13Z,2026-06-22T04:37:50Z,https://github.com/f/prompts.chat,https://prompts.chat,Other,400629,False,False
4,free-for-dev,ripienaar/free-for-dev,ripienaar,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev",HTML,123291,13001,11,2015-03-18T21:06:26Z,2026-06-22T05:01:22Z,https://github.com/ripienaar/free-for-dev,https://free-for.dev/,,10158,False,False
5,cs-self-learning,PKUFlyingPig/cs-self-learning,PKUFlyingPig,计算机自学指南,HTML,73278,7887,150,2021-10-20T13:43:42Z,2026-06-22T04:59:26Z,https://github.com/PKUFlyingPig/cs-self-learning,https://csdiy.wiki,MIT License,69980,False,False
6,claude-code-best-practice,shanraisshan/claude-code-best-practice,shanraisshan,from vibe coding to agentic engineering - practice makes claude perfect,HTML,58513,5888,11,2025-10-31T14:15:28Z,2026-06-22T05:02:09Z,https://github.com/shanraisshan/claude-code-best-practice,https://linkedin.com/in/shanraisshan,MIT License,72122,False,False
7,awesome-compose,docker/awesome-compose,docker,Awesome Docker Compose samples,HTML,45594,8214,394,2020-02-13T08:51:42Z,2026-06-22T00:43:31Z,https://github.com/docker/awesome-compose,https://docs.docker.com/compose/,Creative Commons Zero v1.0 Universal,10957,False,False
8,retrofit,square/retrofit,square,A type-safe HTTP client for Android and the JVM,HTML,43908,7341,170,2010-09-06T21:39:43Z,2026-06-20T11:30:58Z,https://github.com/square/retrofit,https://square.github.io/retrofit/,Apache License 2.0,7417,False,False
9,tabler,tabler/tabler,tabler,Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap,HTML,41190,4371,140,2018-02-01T09:08:59Z,2026-06-22T03:22:21Z,https://github.com/tabler/tabler,https://tabler.io,MIT License,374332,False,False
10,zju-icicles,QSCTech/zju-icicles,QSCTech,浙江大学课程攻略共享计划,HTML,40626,9575,10,2016-06-28T16:17:32Z,2026-06-22T03:38:42Z,https://github.com/QSCTech/zju-icicles,https://qsctech.github.io/zju-icicles/,,6076928,False,False
11,styleguide,google/styleguide,google,Style guides for Google-originated open-source projects,HTML,39390,12966,171,2015-05-20T19:18:59Z,2026-06-22T02:39:21Z,https://github.com/google/styleguide,https://google.github.io/styleguide/,Other,3293,False,False
12,REKCARC-TSC-UHT,PKUanonym/REKCARC-TSC-UHT,PKUanonym,"清华大学计算机系课程攻略 Guidance for courses in Department of Computer Science and Technology, Tsinghua University",HTML,37193,7838,4,2019-04-05T03:31:23Z,2026-06-22T03:54:48Z,https://github.com/PKUanonym/REKCARC-TSC-UHT,https://rekcarc-tsc-uht.readthedocs.io/,Creative Commons Attribution Share Alike 4.0 International,4739330,False,False
13,Coursera-ML-AndrewNg-Notes,fengdu78/Coursera-ML-AndrewNg-Notes,fengdu78,吴恩达老师的机器学习课程个人笔记,HTML,37189,11179,68,2017-11-04T10:04:08Z,2026-06-22T01:00:42Z,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes,,,662586,False,False
14,manifesto,opentofu/manifesto,opentofu,The OpenTF Manifesto expresses concern over HashiCorp's switch of the Terraform license from open-source to the Business Source License (BSL) and calls for the tool's return to a truly open-source license.,HTML,35748,1031,20,2023-08-13T16:17:24Z,2026-06-21T15:50:25Z,https://github.com/opentofu/manifesto,https://opentf.org,Apache License 2.0,1858,False,True
15,material-design-lite,google/material-design-lite,google,Material Design Components in HTML/CSS/JS,HTML,32177,4922,431,2015-01-14T22:01:33Z,2026-06-21T07:14:39Z,https://github.com/google/material-design-lite,,Apache License 2.0,56990,False,False
16,alpine,alpinejs/alpine,alpinejs,"A rugged, minimal framework for composing JavaScript behavior in your markup. ",HTML,31693,1371,3,2019-11-28T13:51:55Z,2026-06-22T02:44:46Z,https://github.com/alpinejs/alpine,https://alpinejs.dev,MIT License,8968,False,False
