排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,pandoc,jgm/pandoc,jgm,Universal markup converter,Haskell,41064,3724,1051,2010-03-20T20:34:23Z,2025-12-29T02:15:38Z,https://github.com/jgm/pandoc,https://pandoc.org,GNU General Public License v2.0,69611,False,False
2,shellcheck,koalaman/shellcheck,koalaman,"ShellCheck, a static analysis tool for shell scripts",Haskell,38725,1892,1183,2012-11-17T03:15:11Z,2025-12-28T21:20:53Z,https://github.com/koalaman/shellcheck,https://www.shellcheck.net,GNU General Public License v3.0,5655,False,False
3,postgrest,PostgREST/postgrest,PostgREST,REST API for any Postgres database,Haskell,26289,1142,364,2014-06-13T00:23:00Z,2025-12-28T16:06:21Z,https://github.com/PostgREST/postgrest,https://postgrest.org,MIT License,13112,False,False
4,hadolint,hadolint/hadolint,hadolint,"Dockerfile linter, validate inline bash, written in Haskell",Haskell,11806,483,245,2015-11-15T20:20:58Z,2025-12-28T19:11:20Z,https://github.com/hadolint/hadolint,,GNU General Public License v3.0,4021,False,False
5,simplex-chat,simplex-chat/simplex-chat,simplex-chat,"SimpleX - the first messaging network operating without user identifiers of any kind - 100% private by design! iOS, Android and desktop apps 📱!",Haskell,10128,537,1062,2019-12-21T09:50:09Z,2025-12-29T00:15:21Z,https://github.com/simplex-chat/simplex-chat,https://simplex.chat,GNU Affero General Public License v3.0,332774,False,False
6,semantic,github/semantic,github,"Parsing, analyzing, and comparing source code across many languages",Haskell,9058,459,0,2019-03-15T14:54:00Z,2025-12-18T07:45:48Z,https://github.com/github/semantic,,,34525,False,True
7,purescript,purescript/purescript,purescript,A strongly-typed language that compiles to JavaScript,Haskell,8816,570,307,2013-09-30T05:29:23Z,2025-12-25T10:46:55Z,https://github.com/purescript/purescript,https://www.purescript.org,Other,13744,False,False
8,compiler,elm/compiler,elm,"Compiler for Elm, a functional language for reliable webapps.",Haskell,7728,671,337,2012-04-19T06:24:43Z,2025-12-26T03:13:45Z,https://github.com/elm/compiler,https://elm-lang.org/,"BSD 3-Clause ""New"" or ""Revised"" License",10069,False,False
9,unison,unisonweb/unison,unisonweb,A friendly programming language from the future,Haskell,6450,291,1238,2015-05-06T14:53:49Z,2025-12-28T15:18:09Z,https://github.com/unisonweb/unison,https://unison-lang.org,Other,141117,False,False
10,Carp,carp-lang/Carp,carp-lang,"A statically typed lisp, without a GC, for real-time applications.",Haskell,5781,180,147,2016-01-11T12:54:09Z,2025-12-28T03:53:30Z,https://github.com/carp-lang/Carp,,Apache License 2.0,11990,False,False
