排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,JavaGuide,Snailclimb/JavaGuide,Snailclimb,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,Java,151186,45959,72,2018-05-07T13:27:00Z,2025-08-11T01:53:31Z,https://github.com/Snailclimb/JavaGuide,https://javaguide.cn,Apache License 2.0,177501,False,False
2,hello-algo,krahets/hello-algo,krahets,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version in translation",Java,115294,14263,25,2022-11-04T11:08:34Z,2025-08-11T01:52:49Z,https://github.com/krahets/hello-algo,https://www.hello-algo.com,Other,365963,False,False
3,GitHub-Chinese-Top-Charts,GrowingGit/GitHub-Chinese-Top-Charts,GrowingGit,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。,Java,101123,13204,188,2019-09-05T03:01:56Z,2025-08-11T02:09:20Z,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,,Other,123199,False,False
4,java-design-patterns,iluwatar/java-design-patterns,iluwatar,Design patterns implemented in Java,Java,92456,27140,157,2014-08-09T16:45:18Z,2025-08-11T01:16:58Z,https://github.com/iluwatar/java-design-patterns,https://java-design-patterns.com,Other,46871,False,False
5,mall,macrozheng/mall,macrozheng,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,Java,81239,29404,13,2018-04-04T01:11:44Z,2025-08-11T01:54:47Z,https://github.com/macrozheng/mall,https://www.macrozheng.com/admin/,Apache License 2.0,58701,False,False
6,advanced-java,doocs/advanced-java,doocs,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,Java,78068,19244,1,2018-10-06T11:38:30Z,2025-08-11T01:52:19Z,https://github.com/doocs/advanced-java,https://java.doocs.org,Creative Commons Attribution Share Alike 4.0 International,26590,False,False
7,spring-boot,spring-projects/spring-boot,spring-projects,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",Java,78052,41391,628,2012-10-19T15:02:57Z,2025-08-10T18:56:48Z,https://github.com/spring-projects/spring-boot,https://spring.io/projects/spring-boot,Apache License 2.0,200959,False,False
8,LeetCodeAnimation,MisterBooo/LeetCodeAnimation,MisterBooo,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,Java,76369,14021,22,2018-12-06T08:01:22Z,2025-08-11T01:42:24Z,https://github.com/MisterBooo/LeetCodeAnimation,,,509807,False,False
9,elasticsearch,elastic/elasticsearch,elastic,"Free and Open Source, Distributed, RESTful Search Engine",Java,73488,25370,5323,2010-02-08T13:20:56Z,2025-08-11T01:37:27Z,https://github.com/elastic/elasticsearch,https://www.elastic.co/products/elasticsearch,Other,1441058,False,False
10,interviews,kdn251/interviews,kdn251,Everything you need to know to get the job.,Java,64343,12950,115,2017-02-14T18:19:25Z,2025-08-10T12:02:34Z,https://github.com/kdn251/interviews,https://www.youtube.com/channel/UCKvwPt6BifPP54yzH99ff1g?view_as=subscriber,MIT License,24462,False,False
11,Stirling-PDF,Stirling-Tools/Stirling-PDF,Stirling-Tools,#1 Locally hosted web application that allows you to perform various operations on PDF files,Java,64204,5480,336,2023-01-27T18:22:42Z,2025-08-11T01:30:05Z,https://github.com/Stirling-Tools/Stirling-PDF,https://stirlingpdf.com,Other,94698,False,False
12,Java,TheAlgorithms/Java,TheAlgorithms,All Algorithms implemented in Java,Java,62654,20121,11,2016-07-16T10:21:02Z,2025-08-10T23:48:11Z,https://github.com/TheAlgorithms/Java,,MIT License,6473,False,False
13,ghidra,NationalSecurityAgency/ghidra,NationalSecurityAgency,Ghidra is a software reverse engineering (SRE) framework,Java,59321,6610,1749,2019-03-01T03:27:48Z,2025-08-10T23:09:58Z,https://github.com/NationalSecurityAgency/ghidra,https://www.nsa.gov/ghidra,Apache License 2.0,387984,False,False
14,spring-framework,spring-projects/spring-framework,spring-projects,Spring Framework,Java,58632,38634,303,2010-12-08T04:04:45Z,2025-08-10T19:08:18Z,https://github.com/spring-projects/spring-framework,https://spring.io/projects/spring-framework,Apache License 2.0,232890,False,False
15,guava,google/guava,google,Google core libraries for Java,Java,50998,11038,724,2014-05-29T16:23:17Z,2025-08-11T02:00:28Z,https://github.com/google/guava,,Apache License 2.0,564485,False,False
16,RxJava,ReactiveX/RxJava,ReactiveX,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,Java,48229,7605,13,2013-01-08T20:11:48Z,2025-08-10T22:52:49Z,https://github.com/ReactiveX/RxJava,,Apache License 2.0,145045,False,False
17,jadx,skylot/jadx,skylot,Dex to Java decompiler,Java,45052,5214,387,2013-03-18T17:08:21Z,2025-08-11T02:08:21Z,https://github.com/skylot/jadx,,Apache License 2.0,24099,False,False
18,dbeaver,dbeaver/dbeaver,dbeaver,Free universal database tool and SQL client,Java,44748,3794,3102,2015-10-21T08:26:28Z,2025-08-11T02:07:15Z,https://github.com/dbeaver/dbeaver,https://dbeaver.io,Apache License 2.0,198589,False,False
19,termux-app,termux/termux-app,termux,Termux - a terminal emulator application for Android OS extendible by variety of packages.,Java,43978,4872,454,2015-10-23T09:42:46Z,2025-08-11T01:28:40Z,https://github.com/termux/termux-app,https://f-droid.org/en/packages/com.termux,Other,4670,False,False
20,JeecgBoot,jeecgboot/JeecgBoot,jeecgboot,🔥企业级低代码平台集成了AI应用平台，帮助企业快速实现低代码开发和构建AI应用！前后端分离架构 SpringBoot，SpringCloud、Mybatis，Ant Design4、 Vue3.0、TS+vite！强大的代码生成器让前后端代码一键生成，无需写任何代码! 引领AI低代码开发模式: AI生成->OnlineCoding-> 代码生成-> 手工MERGE，显著的提高效率，又不失灵活~,Java,43585,15489,29,2018-11-26T10:40:00Z,2025-08-10T16:32:08Z,https://github.com/jeecgboot/JeecgBoot,http://www.jeecg.com,Apache License 2.0,79739,False,False
21,dubbo,apache/dubbo,apache,The java implementation of Apache Dubbo. An RPC and microservice framework.,Java,41198,26530,901,2012-06-19T07:56:02Z,2025-08-10T19:17:07Z,https://github.com/apache/dubbo,https://dubbo.apache.org/,Apache License 2.0,60601,False,False
22,MPAndroidChart,PhilJay/MPAndroidChart,PhilJay,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations.",Java,38066,9049,2190,2014-04-25T14:29:47Z,2025-08-09T10:24:14Z,https://github.com/PhilJay/MPAndroidChart,,Other,21593,False,False
