排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,julia,JuliaLang/julia,JuliaLang,The Julia Programming Language,Julia,48188,5704,4927,2011-04-21T07:01:50Z,2026-01-05T02:12:16Z,https://github.com/JuliaLang/julia,https://julialang.org/,MIT License,353064,False,False
2,Pluto.jl,fonsp/Pluto.jl,fonsp,🎈 Simple reactive notebooks for Julia,Julia,5283,323,363,2020-02-23T01:50:12Z,2026-01-03T19:53:12Z,https://github.com/fonsp/Pluto.jl,https://plutojl.org/,MIT License,61231,False,False
3,Flux.jl,FluxML/Flux.jl,FluxML,Relax! Flux is the ML library that doesn't make you tensor,Julia,4693,615,188,2016-04-01T21:11:05Z,2026-01-02T15:51:13Z,https://github.com/FluxML/Flux.jl,https://fluxml.ai/,Other,13459,False,False
4,DifferentialEquations.jl,SciML/DifferentialEquations.jl,SciML,"Multi-language suite for high-performance solvers of differential equations and scientific machine learning (SciML) components. Ordinary differential equations (ODEs), stochastic differential equations (SDEs), delay differential equations (DDEs), differential-algebraic equations (DAEs), and more in Julia.",Julia,3046,243,165,2016-05-11T05:13:39Z,2026-01-04T14:58:23Z,https://github.com/SciML/DifferentialEquations.jl,https://docs.sciml.ai/DiffEqDocs/stable/,Other,177521,False,False
5,IJulia.jl,JuliaLang/IJulia.jl,JuliaLang,Julia kernel for Jupyter,Julia,2887,425,43,2013-03-05T18:20:21Z,2026-01-01T18:46:42Z,https://github.com/JuliaLang/IJulia.jl,,MIT License,8561,False,False
6,computational-thinking,mitmath/computational-thinking,mitmath,"Course 18.S191 at MIT, Fall 2022 - Introduction to computational thinking with Julia",Julia,2776,493,8,2020-08-25T15:07:05Z,2026-01-04T22:04:58Z,https://github.com/mitmath/computational-thinking,https://computationalthinking.mit.edu/,Other,932813,False,False
7,Makie.jl,MakieOrg/Makie.jl,MakieOrg,Interactive data visualizations and plotting in Julia,Julia,2691,366,960,2017-09-25T22:07:50Z,2026-01-02T16:10:23Z,https://github.com/MakieOrg/Makie.jl,https://docs.makie.org/stable,MIT License,693350,False,False
8,JuMP.jl,jump-dev/JuMP.jl,jump-dev,"Modeling language for Mathematical Optimization (linear, mixed-integer, conic, semidefinite, nonlinear)",Julia,2391,412,14,2012-10-10T00:34:45Z,2026-01-04T20:40:32Z,https://github.com/jump-dev/JuMP.jl,http://jump.dev/JuMP.jl/,Other,350985,False,False
9,Genie.jl,GenieFramework/Genie.jl,GenieFramework,🧞The highly productive Julia web framework,Julia,2384,189,116,2016-02-19T09:23:20Z,2026-01-04T05:32:45Z,https://github.com/GenieFramework/Genie.jl,https://genieframework.com,MIT License,55043,False,False
10,Turing.jl,TuringLang/Turing.jl,TuringLang,Bayesian inference with probabilistic programming.,Julia,2194,230,87,2016-04-29T10:51:43Z,2026-01-04T07:11:01Z,https://github.com/TuringLang/Turing.jl,https://turinglang.org,MIT License,43241,False,False
11,Gadfly.jl,GiovineItalia/Gadfly.jl,GiovineItalia,Crafty statistical graphics for Julia.,Julia,1924,251,276,2012-08-06T20:46:58Z,2025-12-19T17:04:52Z,https://github.com/GiovineItalia/Gadfly.jl,http://gadflyjl.org/stable/,Other,283353,False,False
12,Plots.jl,JuliaPlots/Plots.jl,JuliaPlots,Powerful convenience for Julia visualizations and data analysis,Julia,1922,371,745,2015-08-25T13:46:41Z,2026-01-04T18:52:37Z,https://github.com/JuliaPlots/Plots.jl,https://docs.juliaplots.org,,121294,False,False
13,MLJ.jl,JuliaAI/MLJ.jl,JuliaAI,A Julia machine learning framework,Julia,1888,155,87,2018-08-01T06:29:39Z,2026-01-02T12:30:37Z,https://github.com/JuliaAI/MLJ.jl,https://juliaml.ai,Other,50374,False,False
14,Gen.jl,probcomp/Gen.jl,probcomp,A general-purpose probabilistic programming system with programmable inference,Julia,1828,163,168,2018-08-21T21:42:42Z,2025-12-22T09:06:59Z,https://github.com/probcomp/Gen.jl,https://gen.dev,Apache License 2.0,41160,False,False
15,DataFrames.jl,JuliaData/DataFrames.jl,JuliaData,In-memory tabular data in Julia,Julia,1805,374,159,2012-07-11T18:00:09Z,2026-01-03T19:54:15Z,https://github.com/JuliaData/DataFrames.jl,https://dataframes.juliadata.org/stable/,Other,31400,False,False
16,ModelingToolkit.jl,SciML/ModelingToolkit.jl,SciML,An acausal modeling framework for automatically parallelized scientific machine learning (SciML) in Julia. A computer algebra system for integrated symbolics for physics-informed machine learning and automated transformations of differential equations,Julia,1591,238,548,2018-02-27T01:36:26Z,2026-01-04T14:27:22Z,https://github.com/SciML/ModelingToolkit.jl,https://mtk.sciml.ai/dev/,Other,1082820,False,False
17,Zygote.jl,FluxML/Zygote.jl,FluxML,21st century AD,Julia,1553,216,453,2018-08-06T22:08:26Z,2026-01-02T16:44:43Z,https://github.com/FluxML/Zygote.jl,https://fluxml.ai/Zygote.jl/,Other,4143,False,False
18,PackageCompiler.jl,JuliaLang/PackageCompiler.jl,JuliaLang,Compile your Julia Package,Julia,1521,198,157,2017-11-14T16:57:27Z,2026-01-03T18:41:53Z,https://github.com/JuliaLang/PackageCompiler.jl,https://julialang.github.io/PackageCompiler.jl/dev/,MIT License,4680,False,False
19,UnicodePlots.jl,JuliaPlots/UnicodePlots.jl,JuliaPlots,Unicode-based scientific plotting for working in the terminal,Julia,1505,80,15,2015-08-15T00:21:25Z,2026-01-03T08:24:30Z,https://github.com/JuliaPlots/UnicodePlots.jl,https://juliaplots.org/UnicodePlots.jl,Other,19942,False,False
20,Julia.jl,svaksha/Julia.jl,svaksha,Curated decibans of Julia programming language.,Julia,1502,203,20,2013-09-25T04:35:03Z,2026-01-01T17:27:15Z,https://github.com/svaksha/Julia.jl,http://svaksha.github.io/Julia.jl,Other,5606,False,False
21,PyCall.jl,JuliaPy/PyCall.jl,JuliaPy,Package to call Python functions from the Julia language,Julia,1498,187,293,2013-02-15T14:32:47Z,2025-12-04T08:56:41Z,https://github.com/JuliaPy/PyCall.jl,,MIT License,1515,False,False
22,Symbolics.jl,JuliaSymbolics/Symbolics.jl,JuliaSymbolics,Symbolic programming for the next generation of numerical software,Julia,1482,176,505,2021-01-21T14:12:03Z,2025-12-30T22:18:29Z,https://github.com/JuliaSymbolics/Symbolics.jl,https://docs.sciml.ai/Symbolics/stable/,Other,43750,False,False
23,penumbra,nealmckee/penumbra,nealmckee,Penumbra Color Theme,Julia,1420,32,10,2021-07-15T21:04:26Z,2025-12-27T11:46:55Z,https://github.com/nealmckee/penumbra,,MIT License,916,False,False
