排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,Magisk,topjohnwu/Magisk,topjohnwu,The Magic Mask for Android,Kotlin,60729,17581,60,2016-09-08T12:42:53Z,2026-06-01T04:10:51Z,https://github.com/topjohnwu/Magisk,,GNU General Public License v3.0,62744,False,False
2,v2rayNG,2dust/v2rayNG,2dust,"A V2Ray client for Android, support Xray core and v2fly core",Kotlin,57215,7507,8,2019-05-15T02:15:31Z,2026-06-01T04:45:18Z,https://github.com/2dust/v2rayNG,https://v2rayng.2dust.link,GNU General Public License v3.0,267761,False,False
3,kotlin,JetBrains/kotlin,JetBrains,The Kotlin Programming Language. ,Kotlin,52783,6316,253,2012-02-13T17:29:58Z,2026-06-01T02:05:17Z,https://github.com/JetBrains/kotlin,https://kotlinlang.org,,4864297,False,False
4,okhttp,square/okhttp,square,"Square’s meticulous HTTP client for the JVM, Android, and GraalVM.",Kotlin,46968,9276,114,2012-07-23T13:42:55Z,2026-05-31T23:38:04Z,https://github.com/square/okhttp,https://square.github.io/okhttp/,Apache License 2.0,63452,False,False
5,legado,gedoor/legado,gedoor,"Legado 3.0 Book Reader with powerful controls & full functions❤️阅读3.0, 阅读是一款可以自定义来源阅读网络内容的工具，为广大网络文学爱好者提供一种方便、快捷舒适的试读体验。",Kotlin,46891,5620,18,2019-05-22T04:18:58Z,2026-06-01T04:29:00Z,https://github.com/gedoor/legado,,,52,False,False
6,fanqiang,bannedbook/fanqiang,bannedbook,翻墙-科学上网,Kotlin,45781,7923,327,2015-01-14T00:34:25Z,2026-06-01T01:21:51Z,https://github.com/bannedbook/fanqiang,,,751981,False,False
7,architecture-samples,android/architecture-samples,android,A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.,Kotlin,45709,11872,221,2016-02-05T13:42:07Z,2026-06-01T02:30:27Z,https://github.com/android/architecture-samples,,Apache License 2.0,13364,False,False
8,gkd,gkd-kit/gkd,gkd-kit,"基于无障碍，高级选择器，订阅规则的自定义屏幕点击安卓应用 | An Android APP with custom screen tapping based on Accessibility, Advanced Selectors, and Subscription Rules",Kotlin,39065,1851,6,2023-07-04T03:59:15Z,2026-06-01T04:31:01Z,https://github.com/gkd-kit/gkd,https://gkd.li,GNU General Public License v3.0,4550,False,False
9,shadowsocks-android,shadowsocks/shadowsocks-android,shadowsocks,A shadowsocks client for Android,Kotlin,36676,11489,75,2012-12-16T13:40:29Z,2026-06-01T02:57:15Z,https://github.com/shadowsocks/shadowsocks-android,,Other,53838,False,False
10,p3c,alibaba/p3c,alibaba,Alibaba Java Coding Guidelines pmd implements and IDE plugin,Kotlin,30829,7998,185,2017-06-23T06:15:51Z,2026-06-01T04:23:58Z,https://github.com/alibaba/p3c,https://github.com/alibaba/p3c/wiki,Apache License 2.0,27099,False,False
11,leakcanary,square/leakcanary,square,A memory leak detection library for Android.,Kotlin,29915,3974,164,2015-04-29T23:54:16Z,2026-05-31T23:38:06Z,https://github.com/square/leakcanary,https://square.github.io/leakcanary,Apache License 2.0,147807,False,False
12,Signal-Android,signalapp/Signal-Android,signalapp,A private messenger for Android.,Kotlin,28867,6747,492,2011-12-15T20:01:12Z,2026-05-31T23:54:26Z,https://github.com/signalapp/Signal-Android,https://signal.org,GNU Affero General Public License v3.0,2321396,False,False
13,revanced-manager,ReVanced/revanced-manager,ReVanced,💊 Application to use ReVanced on Android ,Kotlin,28098,1085,104,2022-03-18T19:38:55Z,2026-06-01T01:56:31Z,https://github.com/ReVanced/revanced-manager,https://revanced.app,GNU General Public License v3.0,44232,False,False
14,librepods,kavishdevar/librepods,kavishdevar,AirPods liberated from Apple's ecosystem.,Kotlin,27128,1511,176,2024-09-26T19:31:11Z,2026-06-01T02:43:56Z,https://github.com/kavishdevar/librepods,,GNU General Public License v3.0,189149,False,False
15,Seal,JunkFood02/Seal,JunkFood02,"🦭 Video/Audio Downloader for Android, based on yt-dlp",Kotlin,26600,1204,673,2022-04-15T01:15:25Z,2026-06-01T04:37:41Z,https://github.com/JunkFood02/Seal,,GNU General Public License v3.0,11542,False,False
16,SmsForwarder,pppscn/SmsForwarder,pppscn,短信转发器——监控Android手机短信、来电、APP通知，并根据指定规则转发到其他手机：钉钉群自定义机器人、钉钉企业内机器人、企业微信群机器人、飞书机器人、企业微信应用消息、邮箱、bark、webhook、Telegram机器人、Server酱、PushPlus、手机短信等。包括主动控制服务端与客户端，让你轻松远程发短信、查短信、查通话、查话簿、查电量等。（V3.0 新增）PS.这个APK主要是学习与自用，如有BUG请提ISSUE，同时欢迎大家提PR指正,Kotlin,25896,3231,25,2021-02-10T02:23:07Z,2026-06-01T03:58:53Z,https://github.com/pppscn/SmsForwarder,,"BSD 2-Clause ""Simplified"" License",468867,False,False
17,Shizuku,RikkaApps/Shizuku,RikkaApps,Using system APIs directly with adb/root privileges from normal apps through a Java process started with app_process.,Kotlin,25748,2443,385,2017-05-24T13:53:49Z,2026-06-01T03:03:54Z,https://github.com/RikkaApps/Shizuku,,Apache License 2.0,39013,False,False
18,BaseRecyclerViewAdapterHelper,CymChad/BaseRecyclerViewAdapterHelper,CymChad,BRVAH:Powerful and flexible RecyclerAdapter,Kotlin,24606,5186,392,2016-04-10T07:40:11Z,2026-05-30T06:10:34Z,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,http://www.recyclerview.org/,MIT License,72135,False,False
19,gallery,google-ai-edge/gallery,google-ai-edge,A gallery that showcases on-device ML/GenAI use cases and allows people to try and use models locally.,Kotlin,23384,2424,310,2025-03-31T17:47:28Z,2026-06-01T02:52:22Z,https://github.com/google-ai-edge/gallery,,Apache License 2.0,11371,False,False
20,compose-samples,android/compose-samples,android,Official Jetpack Compose samples.,Kotlin,23193,5435,9,2019-09-27T09:51:19Z,2026-05-31T08:29:52Z,https://github.com/android/compose-samples,https://developer.android.com/jetpack/compose,Apache License 2.0,200123,False,False
