排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,waifu2x,nagadomi/waifu2x,nagadomi,Image Super-Resolution for Anime-Style Art,Lua,28014,2708,154,2015-05-17T07:29:15Z,2025-09-22T00:56:12Z,https://github.com/nagadomi/waifu2x,http://waifu2x.udp.jp/ ,MIT License,709513,False,False
2,kickstart.nvim,nvim-lua/kickstart.nvim,nvim-lua,A launch point for your personal nvim configuration,Lua,27298,39699,72,2022-06-24T03:11:24Z,2025-09-21T21:10:17Z,https://github.com/nvim-lua/kickstart.nvim,,MIT License,800,False,False
3,NvChad,NvChad/NvChad,NvChad,"Blazing fast Neovim framework providing solid defaults and a beautiful UI, enhancing your neovim experience.",Lua,27149,2254,1,2021-03-07T14:33:17Z,2025-09-21T22:39:58Z,https://github.com/NvChad/NvChad,https://nvchad.com,GNU General Public License v3.0,2002,False,False
4,koreader,koreader/koreader,koreader,"An ebook reader application supporting PDF, DjVu, EPUB, FB2 and many more formats, running on Cervantes, Kindle, Kobo, PocketBook and Android devices",Lua,23236,1527,1037,2013-03-24T13:09:42Z,2025-09-22T01:50:42Z,https://github.com/koreader/koreader,http://koreader.rocks/,GNU Affero General Public License v3.0,68214,False,False
5,LazyVim,LazyVim/LazyVim,LazyVim,Neovim config for the lazy,Lua,22808,1618,79,2022-12-30T16:31:42Z,2025-09-22T01:51:46Z,https://github.com/LazyVim/LazyVim,https://lazyvim.github.io/,Apache License 2.0,4860,False,False
6,LunarVim,LunarVim/LunarVim,LunarVim,🌙 LunarVim is an IDE layer for Neovim. Completely free and community driven.,Lua,19097,1514,38,2018-08-16T23:55:19Z,2025-09-21T13:31:43Z,https://github.com/LunarVim/LunarVim,https://www.lunarvim.org,GNU General Public License v3.0,14211,False,False
7,lazy.nvim,folke/lazy.nvim,folke,💤 A modern plugin manager for Neovim,Lua,18883,489,41,2022-11-20T21:36:02Z,2025-09-22T00:35:21Z,https://github.com/folke/lazy.nvim,https://lazy.folke.io/,Apache License 2.0,3447,False,False
8,neural-style,jcjohnson/neural-style,jcjohnson,Torch implementation of neural style algorithm,Lua,18310,2688,316,2015-09-01T04:55:14Z,2025-09-15T13:16:59Z,https://github.com/jcjohnson/neural-style,,MIT License,48191,False,False
9,telescope.nvim,nvim-telescope/telescope.nvim,nvim-telescope,"Find, Filter, Preview, Pick. All lua, all the time.",Lua,18288,911,493,2020-07-15T04:04:58Z,2025-09-22T01:45:18Z,https://github.com/nvim-telescope/telescope.nvim,,MIT License,4497,False,False
10,avante.nvim,yetone/avante.nvim,yetone,Use your Neovim like using Cursor AI IDE!,Lua,15951,718,132,2024-08-14T16:45:16Z,2025-09-21T21:13:52Z,https://github.com/yetone/avante.nvim,,Apache License 2.0,3948,False,False
11,apisix,apache/apisix,apache,The Cloud-Native API Gateway and AI Gateway,Lua,15643,2661,304,2019-04-10T02:02:05Z,2025-09-22T00:22:49Z,https://github.com/apache/apisix,https://apisix.apache.org/blog/,Apache License 2.0,42733,False,False
12,openface,cmusatyalab/openface,cmusatyalab,Face recognition with deep neural networks.,Lua,15340,3594,6,2015-09-16T12:47:27Z,2025-09-21T00:15:52Z,https://github.com/cmusatyalab/openface,http://cmusatyalab.github.io/openface/,Apache License 2.0,24629,False,False
13,AstroNvim,AstroNvim/AstroNvim,AstroNvim,AstroNvim is an aesthetic and feature-rich neovim config that is extensible and easy to use with a great set of plugins ,Lua,13774,961,3,2022-02-02T22:33:34Z,2025-09-21T08:12:11Z,https://github.com/AstroNvim/AstroNvim,https://AstroNvim.com,GNU General Public License v3.0,3612,False,False
14,rime-ice,iDvel/rime-ice,iDvel,Rime 配置：雾凇拼音 | 长期维护的简体词库,Lua,12911,833,19,2021-01-29T10:25:46Z,2025-09-22T01:26:47Z,https://github.com/iDvel/rime-ice,https://dvel.me/posts/rime-ice/,GNU General Public License v3.0,210367,False,False
15,CycleGAN,junyanz/CycleGAN,junyanz,"Software that can generate photos from paintings,  turn horses into zebras,  perform style transfer, and more.",Lua,12749,1973,58,2017-03-30T15:56:21Z,2025-09-21T08:29:44Z,https://github.com/junyanz/CycleGAN,,Other,12841,False,False
16,nvim-lspconfig,neovim/nvim-lspconfig,neovim,Quickstart configs for Nvim LSP,Lua,12679,2331,29,2019-11-13T17:12:28Z,2025-09-22T00:21:40Z,https://github.com/neovim/nvim-lspconfig,,Apache License 2.0,7068,False,False
17,char-rnn,karpathy/char-rnn,karpathy,"Multi-layer Recurrent Neural Networks (LSTM, GRU, RNN) for character-level language models in Torch",Lua,11847,2620,110,2015-05-21T17:25:24Z,2025-09-21T14:36:54Z,https://github.com/karpathy/char-rnn,,,13412,False,False
18,xmake,xmake-io/xmake,xmake-io,🔥 A cross-platform build utility based on Lua,Lua,11353,865,233,2015-04-23T03:37:31Z,2025-09-21T21:47:25Z,https://github.com/xmake-io/xmake,https://xmake.io,Apache License 2.0,40012,False,False
19,pix2pix,phillipi/pix2pix,phillipi,Image-to-image translation with conditional adversarial nets,Lua,10498,1730,92,2016-11-16T22:48:50Z,2025-09-20T08:20:45Z,https://github.com/phillipi/pix2pix,https://phillipi.github.io/pix2pix/,Other,2497,False,False
20,mason.nvim,mason-org/mason.nvim,mason-org,"Portable package manager for Neovim that runs everywhere Neovim runs. Easily install and manage LSP servers, DAP servers, linters, and formatters.",Lua,9521,320,259,2022-07-06T18:00:30Z,2025-09-21T16:24:27Z,https://github.com/mason-org/mason.nvim,,Apache License 2.0,3073,False,False
21,nvim-cmp,hrsh7th/nvim-cmp,hrsh7th,A completion plugin for neovim coded in Lua.,Lua,9099,428,307,2021-06-29T18:01:04Z,2025-09-21T20:48:36Z,https://github.com/hrsh7th/nvim-cmp,,MIT License,923,False,False
22,openwrt-passwall,xiaorouji/openwrt-passwall,xiaorouji,,Lua,8607,2822,7,2018-10-06T18:36:11Z,2025-09-21T12:43:23Z,https://github.com/xiaorouji/openwrt-passwall,,GNU General Public License v3.0,22217,False,False
23,harpoon,ThePrimeagen/harpoon,ThePrimeagen,,Lua,8515,457,145,2020-11-04T16:48:14Z,2025-09-21T23:46:47Z,https://github.com/ThePrimeagen/harpoon,,MIT License,2756,False,False
24,nvim-tree.lua,nvim-tree/nvim-tree.lua,nvim-tree,A file explorer tree for neovim written in lua,Lua,8076,635,90,2020-02-04T19:00:47Z,2025-09-21T16:37:38Z,https://github.com/nvim-tree/nvim-tree.lua,,Other,5883,False,False
25,packer.nvim,wbthomason/packer.nvim,wbthomason,"A use-package inspired plugin manager for Neovim. Uses native packages, supports Luarocks dependencies, written in Lua, allows for expressive config",Lua,8070,266,302,2017-11-19T06:36:02Z,2025-09-22T01:45:21Z,https://github.com/wbthomason/packer.nvim,,MIT License,1409,False,False
26,mini.nvim,nvim-mini/mini.nvim,nvim-mini,Library of 40+ independent Lua modules improving Neovim experience with minimal effort,Lua,8027,265,33,2021-06-18T08:43:57Z,2025-09-22T01:14:26Z,https://github.com/nvim-mini/mini.nvim,,MIT License,9972,False,False
27,lite,rxi/lite,rxi,A lightweight text editor written in Lua,Lua,7992,367,110,2019-12-28T11:12:25Z,2025-09-22T00:04:08Z,https://github.com/rxi/lite,,MIT License,10262,False,False
28,tokyonight.nvim,folke/tokyonight.nvim,folke,"🏙  A clean, dark Neovim theme written in Lua, with support for lsp, treesitter and lots of plugins. Includes additional themes for Kitty, Alacritty, iTerm and Fish.",Lua,7437,490,29,2021-04-16T17:21:40Z,2025-09-21T20:25:34Z,https://github.com/folke/tokyonight.nvim,,Apache License 2.0,1809,False,False
29,lualine.nvim,nvim-lualine/lualine.nvim,nvim-lualine,A blazing fast and easy to configure neovim statusline plugin written in pure lua.,Lua,7391,522,255,2020-12-30T14:35:10Z,2025-09-22T00:46:44Z,https://github.com/nvim-lualine/lualine.nvim,,MIT License,1451,False,False
30,docker.dockercraft,docker-archive-public/docker.dockercraft,docker-archive-public,Docker + Minecraft = Dockercraft,Lua,7362,395,17,2015-06-26T23:51:50Z,2025-09-21T07:05:37Z,https://github.com/docker-archive-public/docker.dockercraft,,Apache License 2.0,48859,False,True
31,ntopng,ntop/ntopng,ntop,Web-based Traffic and Security Network Traffic Monitoring,Lua,7161,711,326,2015-04-30T10:07:16Z,2025-09-21T21:50:08Z,https://github.com/ntop/ntopng,http://www.ntop.org,GNU General Public License v3.0,411307,False,False
32,neorg,nvim-neorg/neorg,nvim-neorg,Modernity meets insane extensibility. The future of organizing your life in Neovim.,Lua,7056,233,208,2021-04-11T17:35:43Z,2025-09-21T00:41:27Z,https://github.com/nvim-neorg/neorg,,GNU General Public License v3.0,4982,False,False
