排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,Book-Mathematical-Foundation-of-Reinforcement-Learning,MathFoundationRL/Book-Mathematical-Foundation-of-Reinforcement-Learning,MathFoundationRL,"This is the homepage of a new book entitled ""Mathematical Foundations of Reinforcement Learning.""",MATLAB,13678,1291,1,2022-08-07T06:22:20Z,2025-12-08T00:41:50Z,https://github.com/MathFoundationRL/Book-Mathematical-Foundation-of-Reinforcement-Learning,,,50856,False,False
2,deep-photo-styletransfer,luanfujun/deep-photo-styletransfer,luanfujun,"Code and data for paper ""Deep Photo Style Transfer"": https://arxiv.org/abs/1703.07511 ",Matlab,10011,1394,32,2017-03-22T04:47:29Z,2025-11-28T01:45:00Z,https://github.com/luanfujun/deep-photo-styletransfer,,,174265,False,False
3,OpenFace,TadasBaltrusaitis/OpenFace,TadasBaltrusaitis,"OpenFace – a state-of-the art tool intended for facial landmark detection, head pose estimation, facial action unit recognition, and eye-gaze estimation.",MATLAB,7504,1899,359,2016-03-05T20:08:49Z,2025-12-07T02:17:06Z,https://github.com/TadasBaltrusaitis/OpenFace,,Other,1743945,False,False
4,PRMLT,PRML/PRMLT,PRML,Matlab code of machine learning algorithms in book PRML,MATLAB,6185,2152,0,2012-09-10T08:19:18Z,2025-12-06T18:17:40Z,https://github.com/PRML/PRMLT,http://prml.github.io/,MIT License,506,False,False
5,vrn,AaronJackson/vrn,AaronJackson,":man:  Code for ""Large Pose 3D Face Reconstruction from a Single Image via Direct Volumetric CNN Regression""",MATLAB,4530,744,7,2017-06-20T12:35:33Z,2025-12-05T10:22:43Z,https://github.com/AaronJackson/vrn,http://aaronsplace.co.uk/papers/jackson2017recon/,MIT License,538,False,False
6,Math_Model,personqianduixue/Math_Model,personqianduixue,数学建模、美赛、美国大学生数学建模竞赛、全国大学生数学建模竞赛、华为杯研究生数学建模、国赛LaTeX模板、美赛LaTeX模板、mathorcup、电工杯、华中赛、APMCM、深圳杯、中青杯、华东杯、数维杯、东三省数学建模、认证杯、数学建模书籍、常用matlab算法、国赛评阅要点、软件模型算法汇总、智能算法、优化算法、现代的算法,MATLAB,4091,733,2,2021-10-09T12:13:58Z,2025-12-07T14:58:07Z,https://github.com/personqianduixue/Math_Model,,,8617532,False,False
7,DeepLearnToolbox,rasmusbergpalm/DeepLearnToolbox,rasmusbergpalm,"Matlab/Octave toolbox for deep learning. Includes Deep Belief Nets, Stacked Autoencoders, Convolutional Neural Nets, Convolutional Autoencoders and vanilla Neural Nets. Each method has examples to get you started.",Matlab,3863,2272,82,2011-10-27T13:15:57Z,2025-12-03T07:26:27Z,https://github.com/rasmusbergpalm/DeepLearnToolbox,,"BSD 2-Clause ""Simplified"" License",16787,False,False
8,Stanford-CS-229,cycleuser/Stanford-CS-229,cycleuser,A Chinese Translation of Stanford CS229 notes 斯坦福机器学习CS229课程讲义的中文翻译,MATLAB,3435,862,3,2017-04-18T03:12:48Z,2025-12-06T13:48:13Z,https://github.com/cycleuser/Stanford-CS-229,https://zhuanlan.zhihu.com/python-kivy,GNU General Public License v3.0,217451,False,True
9,MTCNN_face_detection_alignment,kpzhang93/MTCNN_face_detection_alignment,kpzhang93,Joint Face Detection and Alignment using Multi-task Cascaded Convolutional Neural Networks,MATLAB,2867,987,48,2016-09-25T06:36:33Z,2025-12-06T15:13:42Z,https://github.com/kpzhang93/MTCNN_face_detection_alignment,,MIT License,32807,False,False
10,faster_rcnn,ShaoqingRen/faster_rcnn,ShaoqingRen,Faster R-CNN,Matlab,2803,1227,140,2015-08-06T06:38:25Z,2025-12-06T19:14:25Z,https://github.com/ShaoqingRen/faster_rcnn,,Other,711,False,False
11,eviltransform,googollee/eviltransform,googollee,Transport coordinate between earth(WGS-84) and mars in china(GCJ-02).,MATLAB,2538,479,17,2013-09-23T13:32:53Z,2025-12-05T19:33:47Z,https://github.com/googollee/eviltransform,,Other,94,False,False
12,rcnn,rbgirshick/rcnn,rbgirshick,R-CNN: Regions with Convolutional Neural Network Features,Matlab,2412,978,54,2014-03-13T22:46:18Z,2025-12-03T02:51:44Z,https://github.com/rbgirshick/rcnn,,"BSD 2-Clause ""Simplified"" License",539,False,False
13,Algorithms_MathModels,HuangCongQing/Algorithms_MathModels,HuangCongQing,【国赛】【美赛】数学建模相关算法 MATLAB实现（2018年初整理）,MATLAB,2283,537,1,2017-12-23T12:35:38Z,2025-12-07T11:44:38Z,https://github.com/HuangCongQing/Algorithms_MathModels,,MIT License,100041,False,False
14,OpenTLD,zk00006/OpenTLD,zk00006,OpenTLD is an open source library for real-time 2D tracking of a single object in video. This repository is no longer under development. For latest version see: http://www.tldvision.com/tld2.html,Matlab,2096,1270,38,2011-04-06T22:54:01Z,2025-12-04T16:47:43Z,https://github.com/zk00006/OpenTLD,,GNU General Public License v3.0,14292,False,False
15,Machine-Learning-homework,Ayatans/Machine-Learning-homework,Ayatans,Matlab Coding homework for Machine Learning,MATLAB,2007,668,0,2020-04-18T09:22:44Z,2025-11-30T16:06:58Z,https://github.com/Ayatans/Machine-Learning-homework,,,60397,False,False
16,PlatEMO,BIMK/PlatEMO,BIMK,Evolutionary multi-objective optimization platform,MATLAB,2000,510,96,2018-10-12T14:25:39Z,2025-12-08T01:56:15Z,https://github.com/BIMK/PlatEMO,,,111350,False,False
17,MCM-ICM,dick20/MCM-ICM,dick20,2004-2020美赛O奖论文,MATLAB,1977,346,2,2019-01-23T04:06:37Z,2025-12-07T07:23:00Z,https://github.com/dick20/MCM-ICM,,,931957,False,False
18,CAM,zhoubolei/CAM,zhoubolei,Class Activation Mapping,MATLAB,1880,463,21,2016-04-11T21:59:28Z,2025-12-02T08:09:30Z,https://github.com/zhoubolei/CAM,http://cnnlocalization.csail.mit.edu/,MIT License,13358,False,False
19,MATLAB-Simulink-Challenge-Project-Hub,mathworks/MATLAB-Simulink-Challenge-Project-Hub,mathworks,This MATLAB and Simulink Challenge Project Hub contains a list of research and design project ideas. These projects will help you gain practical experience and insight into technology trends and industry directions.,MATLAB,1817,357,6,2021-02-05T16:03:41Z,2025-12-06T19:26:18Z,https://github.com/mathworks/MATLAB-Simulink-Challenge-Project-Hub,,Other,27970,False,False
20,awesome-low-light-image-enhancement,zhihongz/awesome-low-light-image-enhancement,zhihongz,This is a resouce list for low light image enhancement,MATLAB,1716,234,0,2020-05-24T03:44:36Z,2025-12-07T11:49:23Z,https://github.com/zhihongz/awesome-low-light-image-enhancement,,,18906,False,False
21,matlab2tikz,matlab2tikz/matlab2tikz,matlab2tikz,This program converts MATLAB®/Octave figures to TikZ/pgfplots figures for smooth integration into LaTeX.,MATLAB,1672,329,261,2010-03-25T22:52:27Z,2025-12-06T23:31:09Z,https://github.com/matlab2tikz/matlab2tikz,http://www.mathworks.com/matlabcentral/fileexchange/22022-matlab2tikz,"BSD 2-Clause ""Simplified"" License",7752,False,False
22,DnCNN,cszn/DnCNN,cszn,"Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising (TIP, 2017)",MATLAB,1656,553,42,2016-08-12T17:02:43Z,2025-12-08T00:59:54Z,https://github.com/cszn/DnCNN,https://cszn.github.io/,,130802,False,False
23,robotics-toolbox-matlab,petercorke/robotics-toolbox-matlab,petercorke,Robotics Toolbox for MATLAB,MATLAB,1465,462,94,2015-04-06T02:06:31Z,2025-12-04T20:25:20Z,https://github.com/petercorke/robotics-toolbox-matlab,,GNU Lesser General Public License v2.1,54648,False,False
24,Coding-Guide,ecmadao/Coding-Guide,ecmadao,自己随手记录的东西,MATLAB,1459,187,1,2016-03-06T00:10:15Z,2025-11-21T12:27:30Z,https://github.com/ecmadao/Coding-Guide,,Apache License 2.0,63736,False,False
25,omniglot,brendenlake/omniglot,brendenlake,Omniglot data set for one-shot learning,MATLAB,1407,359,2,2015-10-19T15:56:33Z,2025-11-27T09:48:47Z,https://github.com/brendenlake/omniglot,,MIT License,87801,False,False
26,crfasrnn,torrvision/crfasrnn,torrvision,This repository contains the source code for the semantic image segmentation method described in the ICCV 2015 paper: Conditional Random Fields as Recurrent Neural Networks. http://crfasrnn.torr.vision/,MATLAB,1342,456,47,2015-09-30T19:47:15Z,2025-11-18T07:02:57Z,https://github.com/torrvision/crfasrnn,,Other,3050,False,False
27,export_fig,altmany/export_fig,altmany,A MATLAB toolbox for exporting publication quality figures,MATLAB,1330,367,28,2014-04-21T21:11:57Z,2025-11-21T17:09:55Z,https://github.com/altmany/export_fig,,"BSD 3-Clause ""New"" or ""Revised"" License",707,False,False
28,R-FCN,daijifeng001/R-FCN,daijifeng001,R-FCN: Object Detection via Region-based Fully Convolutional Networks,Matlab,1250,539,30,2016-06-17T07:50:23Z,2025-10-16T08:18:30Z,https://github.com/daijifeng001/R-FCN,,Other,971,False,False
29,matlab-schemer,scottclowe/matlab-schemer,scottclowe,Apply and save color schemes in MATLAB with ease.,MATLAB,1249,274,17,2015-07-04T15:56:55Z,2025-12-06T11:12:07Z,https://github.com/scottclowe/matlab-schemer,,"BSD 2-Clause ""Simplified"" License",1132,False,False
30,Coursera-Machine-Learning-Stanford,atinesh/Coursera-Machine-Learning-Stanford,atinesh,Machine learning-Stanford University,MATLAB,1155,746,5,2016-07-02T06:08:23Z,2025-11-29T06:12:20Z,https://github.com/atinesh/Coursera-Machine-Learning-Stanford,,,166038,False,False
31,tiny,peiyunh/tiny,peiyunh,"Tiny Face Detector, CVPR 2017",MATLAB,1138,314,5,2016-12-09T22:23:36Z,2025-10-08T12:43:56Z,https://github.com/peiyunh/tiny,https://cs.cmu.edu/~peiyunh/tiny,Other,51596,False,False
32,machine-learning-coursera-1,Borye/machine-learning-coursera-1,Borye,This repo is specially created for all the work done my me as a part of Coursera's Machine Learning Course.,,1125,896,6,2014-08-28T10:48:18Z,2025-10-24T11:26:33Z,https://github.com/Borye/machine-learning-coursera-1,,MIT License,29636,False,False
33,Image-Fusion,Linfeng-Tang/Image-Fusion,Linfeng-Tang,Deep Learning-based Image Fusion: A Survey,MATLAB,1109,144,13,2022-05-01T09:31:48Z,2025-12-07T02:46:29Z,https://github.com/Linfeng-Tang/Image-Fusion,,,95871,False,False
34,quadrotor,yrlu/quadrotor,yrlu,"Quadrotor control, path planning and trajectory optimization",MATLAB,1075,300,10,2017-05-07T19:14:11Z,2025-12-07T02:45:31Z,https://github.com/yrlu/quadrotor,,,39274,False,False
