排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,AFNetworking,AFNetworking/AFNetworking,AFNetworking,"A delightful networking framework for iOS, macOS, watchOS, and tvOS.",Objective-C,33735,10496,102,2011-05-31T21:28:44Z,2026-01-24T12:16:22Z,https://github.com/AFNetworking/AFNetworking,http://afnetworking.com,MIT License,6129,False,True
2,SDWebImage,SDWebImage/SDWebImage,SDWebImage,Asynchronous image downloader with cache support as a UIImageView category,Objective-C,25912,5995,124,2009-09-21T17:39:19Z,2026-01-26T01:32:25Z,https://github.com/SDWebImage/SDWebImage,https://sdwebimage.github.io,MIT License,25594,False,False
3,WeChatExtension-ForMac,MustangYM/WeChatExtension-ForMac,MustangYM,A plugin for Mac WeChat,Objective-C,22701,3593,907,2019-04-25T03:02:16Z,2026-01-24T09:56:29Z,https://github.com/MustangYM/WeChatExtension-ForMac,,MIT License,208645,False,False
4,TrollStore,opa334/TrollStore,opa334,Jailed iOS app that can install IPAs permanently with arbitary entitlements and root helpers because it trolls Apple,Objective-C,20772,1448,48,2022-09-02T15:17:20Z,2026-01-25T22:56:47Z,https://github.com/opa334/TrollStore,,Other,10684,False,False
5,GPUImage,BradLarson/GPUImage,BradLarson,An open source iOS framework for GPU-based image and video processing,Objective-C,20343,4589,1000,2012-02-13T15:20:02Z,2026-01-25T00:46:20Z,https://github.com/BradLarson/GPUImage,http://www.sunsetlakesoftware.com/2012/02/12/introducing-gpuimage-framework,"BSD 3-Clause ""New"" or ""Revised"" License",44862,False,False
6,Masonry,SnapKit/Masonry,SnapKit,"Harness the power of AutoLayout NSLayoutConstraints with a simplified, chainable and expressive syntax. Supports iOS and OSX Auto Layout",Objective-C,18403,3154,151,2013-07-22T01:15:48Z,2026-01-24T12:15:28Z,https://github.com/SnapKit/Masonry,,MIT License,767,False,False
7,iTerm2,gnachman/iTerm2,gnachman,iTerm2 is a terminal emulator for Mac OS X that does amazing things.,Objective-C,16843,1286,45,2011-04-07T00:46:28Z,2026-01-25T22:28:38Z,https://github.com/gnachman/iTerm2,https://iterm2.com/,GNU General Public License v2.0,451666,False,False
8,realm-swift,realm/realm-swift,realm,Realm is a mobile database: a replacement for Core Data & SQLite,Objective-C,16586,2212,493,2012-04-16T20:06:56Z,2026-01-24T01:41:48Z,https://github.com/realm/realm-swift,https://realm.io,Apache License 2.0,68140,False,False
9,MBProgressHUD,jdg/MBProgressHUD,jdg,MBProgressHUD + Customizations,Objective-C,16000,3579,94,2009-05-31T21:45:41Z,2026-01-24T13:19:27Z,https://github.com/jdg/MBProgressHUD,http://www.bukovinski.com/,MIT License,1254,False,False
10,FLEX,FLEXTool/FLEX,FLEXTool,An in-app debugging and exploration tool for iOS,Objective-C,14561,1779,49,2014-05-29T00:58:29Z,2026-01-22T10:26:40Z,https://github.com/FLEXTool/FLEX,,Other,31164,False,False
11,keycastr,keycastr/keycastr,keycastr,"KeyCastr, an open-source keystroke visualizer",Objective-C,14534,554,90,2009-02-19T23:59:41Z,2026-01-25T14:42:11Z,https://github.com/keycastr/keycastr,,"BSD 3-Clause ""New"" or ""Revised"" License",58233,False,False
12,WebViewJavascriptBridge,marcuswestin/WebViewJavascriptBridge,marcuswestin,An iOS/OSX bridge for sending messages between Obj-C and JavaScript in UIWebViews/WebViews,Objective-C,14353,2978,105,2011-08-28T02:25:27Z,2026-01-22T19:43:57Z,https://github.com/marcuswestin/WebViewJavascriptBridge,http://marcuswest.in,MIT License,522,False,False
13,hammerspoon,Hammerspoon/hammerspoon,Hammerspoon,Staggeringly powerful macOS desktop automation with Lua,Objective-C,14351,660,650,2014-10-08T19:24:44Z,2026-01-25T19:46:19Z,https://github.com/Hammerspoon/hammerspoon,http://www.hammerspoon.org,MIT License,163134,False,False
14,WeChatPlugin-MacOS,TKkk-iOSer/WeChatPlugin-MacOS,TKkk-iOSer,微信小助手,Objective-C,14313,2488,153,2017-04-20T14:37:37Z,2026-01-25T03:15:30Z,https://github.com/TKkk-iOSer/WeChatPlugin-MacOS,,,25525,False,True
15,YYKit,ibireme/YYKit,ibireme,A collection of iOS components.,Objective-C,14012,3700,306,2013-04-10T19:47:33Z,2026-01-22T02:26:43Z,https://github.com/ibireme/YYKit,,MIT License,56960,False,False
16,fmdb,ccgus/fmdb,ccgus,A Cocoa / Objective-C wrapper around SQLite,Objective-C,13871,2749,271,2010-07-06T22:50:17Z,2026-01-24T12:15:16Z,https://github.com/ccgus/fmdb,,Other,1705,False,False
17,MJRefresh,CoderMJLee/MJRefresh,CoderMJLee,An easy way to use pull-to-refresh.,Objective-C,13840,3535,58,2014-05-23T16:22:32Z,2026-01-24T12:15:04Z,https://github.com/CoderMJLee/MJRefresh,,MIT License,15452,False,False
18,spectacle,eczarny/spectacle,eczarny,Spectacle allows you to organize your windows without using a mouse.,Objective-C,13647,841,148,2010-07-11T01:58:03Z,2026-01-24T06:52:03Z,https://github.com/eczarny/spectacle,https://spectacleapp.com/,Other,12787,False,True
19,CocoaLumberjack,CocoaLumberjack/CocoaLumberjack,CocoaLumberjack,"A fast & simple, yet powerful & flexible logging framework for macOS, iOS, tvOS, watchOS and visionOS",Objective-C,13331,2288,7,2011-03-31T02:38:39Z,2026-01-25T10:26:33Z,https://github.com/CocoaLumberjack/CocoaLumberjack,https://cocoalumberjack.github.io,"BSD 3-Clause ""New"" or ""Revised"" License",6162,False,False
20,IGListKit,Instagram/IGListKit,Instagram,A data-driven UICollectionView framework for building fast and flexible lists.,Objective-C,13065,1543,161,2016-09-07T08:39:27Z,2026-01-24T02:53:15Z,https://github.com/Instagram/IGListKit,https://instagram.github.io/IGListKit/,MIT License,9031,False,False
21,darling,darlinghq/darling,darlinghq,Darwin/macOS emulation layer for Linux,Objective-C,12549,480,309,2012-12-09T10:31:44Z,2026-01-25T22:11:01Z,https://github.com/darlinghq/darling,http://www.darlinghq.org,GNU General Public License v3.0,40738,False,False
22,SVProgressHUD,SVProgressHUD/SVProgressHUD,SVProgressHUD,A clean and lightweight progress HUD for your iOS and tvOS app.,Objective-C,12483,2667,84,2011-03-28T19:23:04Z,2026-01-19T00:01:36Z,https://github.com/SVProgressHUD/SVProgressHUD,https://github.com/SVProgressHUD/SVProgressHUD,MIT License,1426,False,False
23,CocoaAsyncSocket,robbiehanson/CocoaAsyncSocket,robbiehanson,Asynchronous socket networking library for Mac and iOS,Objective-C,12466,3018,3,2011-11-22T10:25:54Z,2026-01-24T02:43:21Z,https://github.com/robbiehanson/CocoaAsyncSocket,,Other,2281,False,False
24,chameleon,vicc/chameleon,vicc,"Color framework for Swift & Objective-C (Gradient colors, hexcode support, colors from images & more).",Objective-C,12378,1298,66,2014-07-26T09:01:09Z,2026-01-25T13:27:46Z,https://github.com/vicc/chameleon,,Other,11765,False,True
