排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,SecLists,danielmiessler/SecLists,danielmiessler,"SecLists is the security tester's companion. It's a collection of multiple types of lists used during security assessments, collected in one place. List types include usernames, passwords, URLs, sensitive data patterns, fuzzing payloads, web shells, and many more.",PHP,71676,25037,9,2012-02-19T01:30:18Z,2026-06-22T03:21:43Z,https://github.com/danielmiessler/SecLists,https://www.owasp.org/index.php/OWASP_Internet_of_Things_Project,MIT License,3350864,False,False
2,coolify,coollabsio/coolify,coollabsio,"An open-source, self-hostable PaaS alternative to Vercel, Heroku & Netlify that lets you easily deploy static sites, databases, full-stack applications and 280+ one-click services on your own servers.",PHP,57271,4816,802,2021-01-25T20:54:01Z,2026-06-22T03:45:33Z,https://github.com/coollabsio/coolify,https://coolify.io,Apache License 2.0,70136,False,False
3,server,nextcloud/server,nextcloud,"☁️ Nextcloud server, a safe home for all your data",PHP,35884,5015,3392,2016-06-02T07:44:14Z,2026-06-22T04:54:36Z,https://github.com/nextcloud/server,https://nextcloud.com,GNU Affero General Public License v3.0,6670909,False,False
4,framework,laravel/framework,laravel,"Laravel is a web application framework with expressive, elegant syntax.",PHP,34785,11887,102,2013-01-10T21:27:28Z,2026-06-22T04:18:34Z,https://github.com/laravel/framework,https://laravel.com,MIT License,101666,False,False
5,filament,filamentphp/filament,filamentphp,A powerful open-source UI framework for Laravel • Build and ship apps & admin panels fast with Livewire,PHP,31189,4180,44,2020-03-19T00:19:18Z,2026-06-22T03:45:07Z,https://github.com/filamentphp/filament,https://filamentphp.com,MIT License,552030,False,False
6,symfony,symfony/symfony,symfony,The Symfony PHP framework,PHP,31084,9837,556,2010-01-04T14:21:21Z,2026-06-22T00:31:02Z,https://github.com/symfony/symfony,https://symfony.com,MIT License,329566,False,False
7,jQuery-File-Upload,blueimp/jQuery-File-Upload,blueimp,"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audio and video for jQuery. Supports cross-domain, chunked and resumable file uploads. Works with any server-side platform (Google App Engine, PHP, Python, Ruby on Rails, Java, etc.) that supports standard HTML form file uploads.",PHP,30745,7773,53,2010-12-01T15:35:32Z,2026-06-20T20:54:49Z,https://github.com/blueimp/jQuery-File-Upload,https://blueimp.github.io/jQuery-File-Upload/,MIT License,4611,False,True
8,composer,composer/composer,composer,Dependency Manager for PHP,PHP,29466,4800,143,2011-06-08T08:53:00Z,2026-06-22T01:50:29Z,https://github.com/composer/composer,https://getcomposer.org/,MIT License,29829,False,False
9,bagisto,bagisto/bagisto,bagisto,Free and open source laravel eCommerce platform,PHP,27359,3163,40,2018-09-10T09:12:41Z,2026-06-22T04:41:30Z,https://github.com/bagisto/bagisto,https://bagisto.com,MIT License,388867,False,False
10,Faker,fzaninotto/Faker,fzaninotto,Faker is a PHP library that generates fake data for you,PHP,26674,3585,223,2011-10-14T22:49:02Z,2026-06-21T19:32:45Z,https://github.com/fzaninotto/Faker,,MIT License,10094,False,True
