排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,winutil,ChrisTitusTech/winutil,ChrisTitusTech,"Chris Titus Tech's Windows Utility - Install Programs, Tweaks, Fixes, and Updates",PowerShell,61577,3587,34,2022-04-28T02:25:19Z,2026-08-31T04:47:25Z,https://github.com/ChrisTitusTech/winutil,https://winutil.christitus.com/,MIT License,18685,False,False
2,Win11Debloat,Raphire/Win11Debloat,Raphire,"A simple, lightweight PowerShell script that allows you to remove pre-installed apps, disable telemetry, as well as perform various other changes to declutter and customize your Windows experience. Win11Debloat works for both Windows 10 and Windows 11.",PowerShell,56502,2411,30,2020-10-27T22:26:59Z,2026-08-31T04:49:43Z,https://github.com/Raphire/Win11Debloat,,MIT License,2348,False,False
3,reverse-skill,zhaoxuya520/reverse-skill,zhaoxuya520,"Reverse Engineering / Authorized Penetration Testing / Security Research Skill Router Pack AI-powered routing + On-demand toolchain bootstrapping + Self-evolving knowledge base  Supports Claude Code, Kiro, Cursor, Cline, and other AI coding clients 逆向/渗透/安全技能路由包 - AI 自动路由 + 按需自举工具链 + 自动进化经验库 | 支持 Claude Code / Kiro / Cursor / Cline 等代码 AI 客户端",PowerShell,32227,4337,18,2026-05-13T14:37:57Z,2026-08-31T04:55:02Z,https://github.com/zhaoxuya520/reverse-skill,,MIT License,4188,False,False
4,cmder,cmderdev/cmder,cmderdev,Lovely console emulator package for Windows,PowerShell,27003,2073,67,2013-07-09T07:44:22Z,2026-08-30T13:09:31Z,https://github.com/cmderdev/cmder,https://cmder.app,MIT License,3744,False,False
5,Scoop,ScoopInstaller/Scoop,ScoopInstaller,A command-line installer for Windows.,PowerShell,24614,1534,537,2013-05-11T03:52:15Z,2026-08-31T03:47:36Z,https://github.com/ScoopInstaller/Scoop,https://scoop.sh,Other,14376,False,False
6,SpotX,SpotX-Official/SpotX,SpotX-Official,SpotX patcher used for patching the desktop version of Spotify,PowerShell,22201,1116,3,2021-08-11T18:01:20Z,2026-08-30T19:36:48Z,https://github.com/SpotX-Official/SpotX,,MIT License,25404,False,False
7,core,dotnet/core,dotnet,".NET news, announcements, release notes, and more!",PowerShell,22034,4937,363,2014-11-18T00:44:57Z,2026-08-30T10:47:26Z,https://github.com/dotnet/core,https://dot.net,MIT License,69620,False,False
8,tiny11builder,ntdevlabs/tiny11builder,ntdevlabs,Scripts to build a trimmed-down Windows 11 image.,PowerShell,19473,1494,146,2023-02-24T23:42:36Z,2026-08-30T22:49:41Z,https://github.com/ntdevlabs/tiny11builder,,,233,False,False
9,Windows10Debloater,Sycnex/Windows10Debloater,Sycnex,Script to remove Windows 10 bloatware.,PowerShell,18841,2060,299,2017-12-12T01:35:58Z,2026-08-30T12:23:32Z,https://github.com/Sycnex/Windows10Debloater,,MIT License,478,False,True
10,Office-Tool,YerongAI/Office-Tool,YerongAI,Office Tool Plus localization projects.,PowerShell,14103,1047,3,2018-11-06T10:54:58Z,2026-08-31T02:30:47Z,https://github.com/YerongAI/Office-Tool,https://www.officetool.plus,MIT License,43084,False,False
