排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,FriendsDontLetFriends,cxli233/FriendsDontLetFriends,cxli233,Friends don't let friends make certain types of data visualization - What are they and why are they bad. ,R,6887,278,11,2022-05-24T18:26:12Z,2025-10-19T23:29:31Z,https://github.com/cxli233/FriendsDontLetFriends,,MIT License,10452,False,False
2,ggplot2,tidyverse/ggplot2,tidyverse,An implementation of the Grammar of Graphics in R,R,6804,2105,149,2008-05-25T01:21:32Z,2025-10-19T23:29:40Z,https://github.com/tidyverse/ggplot2,https://ggplot2.tidyverse.org,Other,1265616,False,False
3,awesome-R,qinwf/awesome-R,qinwf,"A curated list of awesome R packages, frameworks and software.",R,6328,1510,20,2014-07-19T06:02:47Z,2025-10-19T20:40:45Z,https://github.com/qinwf/awesome-R,,,1254,False,False
4,shiny,rstudio/shiny,rstudio,Easy interactive web applications with R,R,5546,1877,866,2012-06-20T18:45:11Z,2025-10-17T20:40:27Z,https://github.com/rstudio/shiny,https://shiny.posit.co/,Other,64890,False,False
5,dplyr,tidyverse/dplyr,tidyverse,dplyr: A grammar of data manipulation,R,4944,2135,103,2012-10-28T13:39:17Z,2025-10-19T23:20:20Z,https://github.com/tidyverse/dplyr,https://dplyr.tidyverse.org/,Other,73161,False,False
6,r4ds,hadley/r4ds,hadley,R for data science: a book,R,4907,4368,34,2015-07-27T21:52:44Z,2025-10-20T00:48:23Z,https://github.com/hadley/r4ds,https://r4ds.hadley.nz/,Other,78109,False,False
7,swirl_courses,swirldev/swirl_courses,swirldev,:mortar_board: A collection of interactive courses for the swirl R package.,R,4492,7243,205,2014-02-23T04:48:04Z,2025-10-19T20:45:58Z,https://github.com/swirldev/swirl_courses,http://swirlstats.com,Other,48394,False,False
8,stat_rethinking_2022,rmcelreath/stat_rethinking_2022,rmcelreath,Statistical Rethinking course winter 2022,R,4099,440,12,2021-10-08T12:24:05Z,2025-10-14T16:01:18Z,https://github.com/rmcelreath/stat_rethinking_2022,,,15803,False,False
9,awesome-network-analysis,briatte/awesome-network-analysis,briatte,A curated list of awesome network analysis resources.,R,3849,622,12,2016-04-10T20:31:19Z,2025-10-19T21:34:55Z,https://github.com/briatte/awesome-network-analysis,http://f.briatte.org/r/awesome-network-analysis-list,,1465,False,False
10,data.table,Rdatatable/data.table,Rdatatable,R's data.table package extends data.frame:,R,3795,1018,982,2014-06-07T16:38:05Z,2025-10-19T20:11:40Z,https://github.com/Rdatatable/data.table,http://r-datatable.com,Mozilla Public License 2.0,63045,False,False
11,ML_for_Hackers,johnmyleswhite/ML_for_Hackers,johnmyleswhite,"Code accompanying the book ""Machine Learning for Hackers""",R,3708,2207,36,2012-02-10T03:00:23Z,2025-10-19T10:33:52Z,https://github.com/johnmyleswhite/ML_for_Hackers,http://shop.oreilly.com/product/0636920018483.do,,121125,False,False
12,AnomalyDetection,twitter/AnomalyDetection,twitter,Anomaly Detection with R,R,3608,772,71,2014-12-09T17:46:24Z,2025-10-11T06:52:27Z,https://github.com/twitter/AnomalyDetection,,GNU General Public License v3.0,1377,False,True
13,rmarkdown,rstudio/rmarkdown,rstudio,Dynamic Documents for R,R,2985,999,262,2014-01-22T17:25:19Z,2025-10-19T20:44:36Z,https://github.com/rstudio/rmarkdown,https://rmarkdown.rstudio.com,GNU General Public License v3.0,125588,False,False
14,plotly.R,plotly/plotly.R,plotly,An interactive graphing library for R,R,2647,636,747,2013-11-21T05:56:51Z,2025-10-17T08:37:42Z,https://github.com/plotly/plotly.R,https://plotly-r.com,Other,117665,False,False
15,patchwork,thomasp85/patchwork,thomasp85,The Composer of ggplots,R,2565,166,66,2017-11-28T20:55:08Z,2025-10-13T07:44:03Z,https://github.com/thomasp85/patchwork,https://patchwork.data-imaginist.com,Other,63142,False,False
16,seurat,satijalab/seurat,satijalab,R toolkit for single cell genomics,R,2541,973,315,2015-05-20T05:23:02Z,2025-10-18T17:43:21Z,https://github.com/satijalab/seurat,http://www.satijalab.org/seurat,Other,83686,False,False
17,devtools,r-lib/devtools,r-lib,Tools to make an R developer's life easier,R,2483,764,54,2010-05-03T04:08:49Z,2025-10-19T18:26:56Z,https://github.com/r-lib/devtools,https://devtools.r-lib.org,Other,14220,False,False
18,knitr,yihui/knitr,yihui,A general-purpose tool for dynamic report generation in R,R,2432,880,159,2011-10-17T20:09:04Z,2025-10-19T20:44:39Z,https://github.com/yihui/knitr,https://yihui.org/knitr/,,8146,False,False
19,stat_rethinking_2023,rmcelreath/stat_rethinking_2023,rmcelreath,Statistical Rethinking Course for Jan-Mar 2023,R,2337,264,13,2022-11-30T09:01:17Z,2025-10-18T13:20:09Z,https://github.com/rmcelreath/stat_rethinking_2023,,Creative Commons Zero v1.0 Universal,143783,False,False
20,rethinking,rmcelreath/rethinking,rmcelreath,Statistical Rethinking course and book package,R,2304,616,271,2013-03-07T20:18:09Z,2025-10-14T09:58:25Z,https://github.com/rmcelreath/rethinking,,,2867,False,False
21,ggstatsplot,IndrajeetPatil/ggstatsplot,IndrajeetPatil,Enhancing {ggplot2} plots with statistical analysis 📊📣,R,2133,202,69,2018-01-08T19:16:42Z,2025-10-18T00:58:38Z,https://github.com/IndrajeetPatil/ggstatsplot,https://indrajeetpatil.github.io/ggstatsplot/,Other,2422825,False,False
22,rayshader,tylermorganwall/rayshader,tylermorganwall,R Package for 2D and 3D mapping and data visualization,R,2128,217,41,2018-05-13T13:51:00Z,2025-10-17T05:31:14Z,https://github.com/tylermorganwall/rayshader,https://www.rayshader.com/,,1656305,False,False
23,gt,rstudio/gt,rstudio,"Easily generate information-rich, publication-quality tables from R",R,2120,220,309,2018-03-20T15:18:51Z,2025-10-19T23:12:28Z,https://github.com/rstudio/gt,https://gt.rstudio.com,Other,308590,False,False
24,labs,genomicsclass/labs,genomicsclass,Rmd source files for the HarvardX series PH525x,R,2105,1963,21,2013-12-12T17:12:53Z,2025-10-17T00:58:58Z,https://github.com/genomicsclass/labs,http://genomicsclass.github.io/book,MIT License,8480,False,False
25,DataScienceR,ujjwalkarn/DataScienceR,ujjwalkarn,"a curated list of R tutorials for Data Science, NLP and Machine Learning ",R,2065,883,7,2014-10-08T07:29:44Z,2025-10-14T13:53:54Z,https://github.com/ujjwalkarn/DataScienceR,,MIT License,16514,False,False
26,wesanderson,karthik/wesanderson,karthik,A Wes Anderson color palette for R,R,2063,148,23,2014-03-18T06:55:09Z,2025-10-18T21:27:07Z,https://github.com/karthik/wesanderson,,Other,3414,False,False
27,nyc-taxi-data,toddwschneider/nyc-taxi-data,toddwschneider,"Import public NYC taxi and for-hire vehicle (Uber, Lyft) trip data into a PostgreSQL or ClickHouse database",R,2050,570,3,2015-11-16T02:58:16Z,2025-10-15T19:22:41Z,https://github.com/toddwschneider/nyc-taxi-data,,MIT License,49698,False,False
28,gganimate,thomasp85/gganimate,thomasp85,A Grammar of Animated Graphics,R,1978,316,86,2016-02-01T21:28:54Z,2025-10-19T17:23:05Z,https://github.com/thomasp85/gganimate,https://gganimate.com,Other,57396,False,False
29,benchm-ml,szilard/benchm-ml,szilard,"A minimal benchmark for scalability, speed and accuracy of commonly used open source implementations (R packages, Python scikit-learn, H2O, xgboost, Spark MLlib etc.) of the top machine learning algorithms for binary classification (random forests, gradient boosted trees, deep neural networks etc.).",R,1888,332,12,2015-03-28T00:34:18Z,2025-10-12T12:25:27Z,https://github.com/szilard/benchm-ml,,MIT License,1133,False,False
30,esquisse,dreamRs/esquisse,dreamRs,RStudio add-in to make plots interactively with ggplot2,R,1831,238,52,2017-10-27T10:21:09Z,2025-10-20T00:43:02Z,https://github.com/dreamRs/esquisse,https://dreamrs.github.io/esquisse,Other,16958,False,False
31,blogdown,rstudio/blogdown,rstudio,Create Blogs and Websites with R Markdown,R,1773,326,29,2016-11-02T18:57:35Z,2025-10-19T20:35:35Z,https://github.com/rstudio/blogdown,https://pkgs.rstudio.com/blogdown/,,3284,False,False
32,CausalImpact,google/CausalImpact,google,An R package for causal inference in time series,R,1765,261,36,2014-08-08T17:16:13Z,2025-10-16T13:03:34Z,https://github.com/google/CausalImpact,,Apache License 2.0,3320,False,False
33,tidyverse,tidyverse/tidyverse,tidyverse,Easily install and load packages from the tidyverse,R,1757,293,10,2016-09-06T13:29:39Z,2025-10-16T19:17:03Z,https://github.com/tidyverse/tidyverse,https://tidyverse.tidyverse.org,Other,3579,False,False
34,investing,zonination/investing,zonination,Investing Returns on the Market as a Whole,R,1742,110,0,2016-06-23T18:12:14Z,2025-10-07T22:53:49Z,https://github.com/zonination/investing,,MIT License,11832,False,False
35,reticulate,rstudio/reticulate,rstudio,R Interface to Python,R,1729,345,466,2017-02-06T18:59:46Z,2025-10-16T04:24:39Z,https://github.com/rstudio/reticulate,https://rstudio.github.io/reticulate,Apache License 2.0,24661,False,False
36,DiagrammeR,rich-iannone/DiagrammeR,rich-iannone,Graph and network visualization using tabular data in R,R,1724,249,170,2014-12-28T08:01:15Z,2025-10-19T01:51:22Z,https://github.com/rich-iannone/DiagrammeR,https://rich-iannone.github.io/DiagrammeR/,Other,104395,False,False
37,geocompr,geocompx/geocompr,geocompx,Geocomputation with R: an open source book,R,1711,611,12,2017-03-07T16:40:47Z,2025-10-14T14:52:54Z,https://github.com/geocompx/geocompr,https://r.geocompx.org/,Other,284807,False,False
38,stat_rethinking_2024,rmcelreath/stat_rethinking_2024,rmcelreath,,R,1676,184,3,2023-11-26T14:41:43Z,2025-10-19T02:28:58Z,https://github.com/rmcelreath/stat_rethinking_2024,,Creative Commons Zero v1.0 Universal,149562,False,False
39,mlr,mlr-org/mlr,mlr-org,Machine Learning in R ,R,1668,405,13,2013-08-29T16:26:13Z,2025-10-12T17:17:06Z,https://github.com/mlr-org/mlr,https://mlr.mlr-org.com,Other,633611,False,False
40,caret,topepo/caret,topepo,caret (Classification And Regression Training) R package that contains misc functions for training and plotting classification and regression models,R,1661,629,217,2014-05-16T15:50:16Z,2025-10-19T20:24:28Z,https://github.com/topepo/caret,http://topepo.github.io/caret/index.html,,396367,False,False
41,r-color-palettes,EmilHvitfeldt/r-color-palettes,EmilHvitfeldt,Comprehensive list of color palettes available in R ❤️🧡💛💚💙💜,R,1635,145,26,2018-03-02T05:08:25Z,2025-10-11T15:41:53Z,https://github.com/EmilHvitfeldt/r-color-palettes,https://EmilHvitfeldt.github.io/r-color-palettes/,,999199,False,False
42,stats337,hadley/stats337,hadley,Readings in applied data science,R,1620,225,7,2018-03-26T22:51:33Z,2025-09-12T16:43:57Z,https://github.com/hadley/stats337,,Creative Commons Attribution Share Alike 4.0 International,18634,False,False
43,bbplot,bbc/bbplot,bbc,R package that helps create and export ggplot2 charts in the style used by the BBC News data team,R,1602,269,15,2019-01-15T17:28:21Z,2025-10-17T05:50:50Z,https://github.com/bbc/bbplot,,,6956,False,False
44,rvest,tidyverse/rvest,tidyverse,Simple web scraping for R,R,1508,350,34,2014-07-23T21:22:27Z,2025-10-16T00:26:06Z,https://github.com/tidyverse/rvest,https://rvest.tidyverse.org,Other,13418,False,False
45,tofsims,fossasia/tofsims,fossasia,,R,1502,6,0,2016-11-24T22:48:01Z,2025-10-14T09:24:12Z,https://github.com/fossasia/tofsims,http://bioconductor.org/packages/devel/bioc/html/tofsims.html,,56026,False,False
46,broom,tidymodels/broom,tidymodels,Convert statistical analysis objects from R into tidy format,R,1501,306,14,2014-09-11T19:17:04Z,2025-10-06T09:15:44Z,https://github.com/tidymodels/broom,https://broom.tidymodels.org,Other,91550,False,False
47,plumber,rstudio/plumber,rstudio,Turn your R code into a web API.,R,1434,263,126,2015-06-04T05:09:10Z,2025-10-15T03:44:08Z,https://github.com/rstudio/plumber,https://www.rplumber.io,Other,21815,False,False
48,janitor,sfirke/janitor,sfirke,simple tools for data cleaning in R,R,1432,133,40,2016-04-12T22:29:40Z,2025-10-19T05:56:09Z,https://github.com/sfirke/janitor,http://sfirke.github.io/janitor/,Other,8594,False,False
49,ComplexHeatmap,jokergoo/ComplexHeatmap,jokergoo,Make Complex Heatmaps ,R,1423,241,224,2015-01-29T11:45:58Z,2025-10-17T00:40:25Z,https://github.com/jokergoo/ComplexHeatmap,https://jokergoo.github.io/ComplexHeatmap-reference/book/,Other,15975,False,False
50,tidyr,tidyverse/tidyr,tidyverse,Tidy Messy Data,R,1413,420,57,2014-06-10T14:24:33Z,2025-10-16T19:24:17Z,https://github.com/tidyverse/tidyr,https://tidyr.tidyverse.org/,Other,21458,False,False
51,sf,r-spatial/sf,r-spatial,Simple Features for R,R,1396,300,65,2015-11-06T21:49:34Z,2025-10-11T04:49:54Z,https://github.com/r-spatial/sf,https://r-spatial.github.io/sf/,Other,146478,False,False
52,rnaseq_tutorial,griffithlab/rnaseq_tutorial,griffithlab,"Informatics for RNA-seq: A web resource for analysis on the cloud. Educational tutorials and working pipelines for RNA-seq analysis including an introduction to: cloud computing, critical file formats, reference genomes, gene annotation, expression, differential expression, alternative splicing, data visualization, and interpretation.",R,1390,622,6,2014-07-31T18:58:09Z,2025-10-17T06:39:08Z,https://github.com/griffithlab/rnaseq_tutorial,,Other,459472,False,False
53,mastering-shiny,hadley/mastering-shiny,hadley,Mastering Shiny: a book,R,1364,573,77,2016-07-09T07:45:54Z,2025-10-18T17:28:29Z,https://github.com/hadley/mastering-shiny,https://mastering-shiny.org/,Other,54893,False,False
54,brms,paul-buerkner/brms,paul-buerkner,brms R package for Bayesian generalized multivariate non-linear multilevel models using Stan,R,1359,203,123,2015-06-17T16:29:31Z,2025-10-10T03:54:53Z,https://github.com/paul-buerkner/brms,https://paulbuerkner.com/brms/,GNU General Public License v2.0,273087,False,False
55,purrr,tidyverse/purrr,tidyverse,A functional programming toolkit for R,R,1351,292,20,2014-11-29T17:33:40Z,2025-10-20T00:57:40Z,https://github.com/tidyverse/purrr,https://purrr.tidyverse.org/,Other,11203,False,False
56,ggthemes,jrnold/ggthemes,jrnold,"Additional themes, scales, and geoms for ggplot2",R,1344,227,16,2012-09-07T00:00:07Z,2025-10-12T06:51:54Z,https://github.com/jrnold/ggthemes,http://jrnold.github.io/ggthemes/,,58822,False,False
