排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,rails,rails/rails,rails,Ruby on Rails,Ruby,58664,22300,1576,2008-04-11T02:19:47Z,2026-08-03T01:35:49Z,https://github.com/rails/rails,https://rubyonrails.org,MIT License,287201,False,False
2,maybe,maybe-finance/maybe,maybe-finance,The personal finance app for everyone,Ruby,54354,5663,0,2024-01-01T22:23:46Z,2026-08-02T18:41:21Z,https://github.com/maybe-finance/maybe,,GNU Affero General Public License v3.0,6891,False,True
3,jekyll,jekyll/jekyll,jekyll,:globe_with_meridians: Jekyll is a blog-aware static site generator in Ruby,Ruby,51606,10300,254,2008-10-20T06:29:03Z,2026-08-02T21:38:04Z,https://github.com/jekyll/jekyll,https://jekyllrb.com,MIT License,71128,False,False
4,mastodon,mastodon/mastodon,mastodon,"Your self-hosted, globally interconnected microblogging community",Ruby,50162,7478,4495,2016-02-22T15:01:25Z,2026-08-02T19:50:44Z,https://github.com/mastodon/mastodon,https://joinmastodon.org,GNU Affero General Public License v3.0,398180,False,False
5,huginn,huginn/huginn,huginn,Create agents that monitor and act on your behalf.  Your agents are standing by!,Ruby,49734,4287,695,2013-03-10T06:00:31Z,2026-08-03T01:29:43Z,https://github.com/huginn/huginn,,MIT License,9494,False,False
6,brew,Homebrew/brew,Homebrew,🍺 The Package Manager for Everywhere,Ruby,49036,11269,17,2016-03-06T05:08:38Z,2026-08-03T01:47:06Z,https://github.com/Homebrew/brew,https://brew.sh,"BSD 2-Clause ""Simplified"" License",121699,False,False
7,discourse,discourse/discourse,discourse,"A platform for community discussion. Free, open, simple.",Ruby,47585,8976,228,2013-01-12T00:25:55Z,2026-08-03T03:29:45Z,https://github.com/discourse/discourse,https://www.discourse.org,GNU General Public License v2.0,971018,False,False
8,fastlane,fastlane/fastlane,fastlane,🚀 The easiest way to automate building and releasing your iOS and Android apps,Ruby,41921,6024,686,2014-12-02T17:00:38Z,2026-08-03T00:39:47Z,https://github.com/fastlane/fastlane,https://fastlane.tools,MIT License,85024,False,False
9,devdocs,freeCodeCamp/devdocs,freeCodeCamp,API Documentation Browser,Ruby,39250,2616,229,2013-10-24T18:16:07Z,2026-08-03T02:35:20Z,https://github.com/freeCodeCamp/devdocs,https://devdocs.io,Mozilla Public License 2.0,32809,False,False
10,metasploit-framework,rapid7/metasploit-framework,rapid7,Metasploit Framework,Ruby,38723,14925,599,2011-08-30T06:13:20Z,2026-08-03T02:13:40Z,https://github.com/rapid7/metasploit-framework,https://www.metasploit.com/,Other,1227812,False,False
