排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,rust,rust-lang/rust,rust-lang,Empowering everyone to build reliable and efficient software.,Rust,105347,13582,11433,2010-06-16T20:39:03Z,2025-07-28T08:50:25Z,https://github.com/rust-lang/rust,https://www.rust-lang.org,Other,735011,False,False
2,deno,denoland/deno,denoland,A modern runtime for JavaScript and TypeScript.,Rust,103709,5661,2322,2018-05-15T01:34:26Z,2025-07-28T09:48:55Z,https://github.com/denoland/deno,https://deno.com,MIT License,176810,False,False
3,tauri,tauri-apps/tauri,tauri-apps,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",Rust,94979,2984,1181,2019-07-13T09:09:37Z,2025-07-28T10:01:28Z,https://github.com/tauri-apps/tauri,https://tauri.app,Apache License 2.0,96911,False,False
4,rustdesk,rustdesk/rustdesk,rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Rust,94002,13720,69,2020-09-28T15:36:08Z,2025-07-28T10:04:18Z,https://github.com/rustdesk/rustdesk,https://rustdesk.com,GNU Affero General Public License v3.0,61341,False,False
5,union,unionlabs/union,unionlabs,"The trust-minimized, zero-knowledge bridging protocol, designed for censorship resistance, extremely high security, and usage in decentralized finance.",Rust,72647,3642,266,2023-05-16T22:33:39Z,2025-07-28T10:04:29Z,https://github.com/unionlabs/union,https://union.build,Apache License 2.0,471012,False,False
6,zed,zed-industries/zed,zed-industries,"Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.",Rust,63030,4780,2727,2021-02-20T03:01:06Z,2025-07-28T09:59:39Z,https://github.com/zed-industries/zed,https://zed.dev,Other,233172,False,False
7,uv,astral-sh/uv,astral-sh,"An extremely fast Python package and project manager, written in Rust.",Rust,62823,1807,2001,2023-10-02T20:24:11Z,2025-07-28T09:47:33Z,https://github.com/astral-sh/uv,https://docs.astral.sh/uv,Apache License 2.0,109471,False,False
8,sway,FuelLabs/sway,FuelLabs,🌴 Empowering everyone to build reliable and efficient smart contracts.,Rust,62168,5407,873,2021-01-19T20:54:33Z,2025-07-28T09:01:04Z,https://github.com/FuelLabs/sway,https://docs.fuel.network/docs/sway/,Apache License 2.0,103400,False,False
9,alacritty,alacritty/alacritty,alacritty,"A cross-platform, OpenGL terminal emulator.",Rust,59670,3148,334,2016-02-18T05:02:30Z,2025-07-28T08:07:34Z,https://github.com/alacritty/alacritty,https://alacritty.org,Apache License 2.0,14071,False,False
10,rustlings,rust-lang/rustlings,rust-lang,:crab: Small exercises to get you used to reading and writing Rust code!,Rust,59397,10786,70,2015-09-15T02:25:18Z,2025-07-28T09:06:17Z,https://github.com/rust-lang/rustlings,https://rustlings.rust-lang.org,MIT License,4207,False,False
