排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,the-algorithm,twitter/the-algorithm,twitter,Source code for the X Recommendation Algorithm,Scala,66939,12551,479,2023-03-27T14:57:57Z,2025-09-22T01:55:39Z,https://github.com/twitter/the-algorithm,https://blog.twitter.com/engineering/en_us/topics/open-source/2023/twitter-recommendation-algorithm,GNU Affero General Public License v3.0,8422,False,False
2,spark,apache/spark,apache,Apache Spark - A unified analytics engine for large-scale data processing,Scala,41936,28835,222,2014-02-25T08:00:08Z,2025-09-22T01:50:37Z,https://github.com/apache/spark,https://spark.apache.org/,Apache License 2.0,515970,False,False
3,lila,lichess-org/lila,lichess-org,"♞ lichess.org: the forever free, adless and open source chess server ♞",Scala,17116,2471,1111,2012-02-21T19:46:55Z,2025-09-22T01:17:58Z,https://github.com/lichess-org/lila,https://lichess.org,GNU Affero General Public License v3.0,569979,False,False
4,prisma1,prisma/prisma1,prisma,"💾 Database Tools incl. ORM, Migrations and Admin UI (Postgres, MySQL & MongoDB) [deprecated]",Scala,16459,851,2,2016-09-25T12:54:40Z,2025-09-19T00:28:05Z,https://github.com/prisma/prisma1,https://v1.prisma.io/docs/,Apache License 2.0,193917,False,True
5,scala,scala/scala,scala,Scala 2 compiler and standard library. Scala 2 bugs at https://github.com/scala/bug; Scala 3 at https://github.com/scala/scala3,Scala,14408,3107,21,2011-12-01T05:02:34Z,2025-09-21T22:32:42Z,https://github.com/scala/scala,https://www.scala-lang.org/,Apache License 2.0,161016,False,False
6,akka,akka/akka,akka,"A platform to build and run apps that are elastic, agile, and resilient. SDK, libraries, and hosted environments.",Scala,13216,3585,896,2009-02-16T12:51:54Z,2025-09-21T18:21:29Z,https://github.com/akka/akka,https://doc.akka.io/libraries/,Other,279853,False,False
7,playframework,playframework/playframework,playframework,The Community Maintained High Velocity Web Framework For Java and Scala.,Scala,12585,4078,477,2011-09-07T09:24:08Z,2025-09-19T11:06:29Z,https://github.com/playframework/playframework,http://www.playframework.com,Apache License 2.0,112823,False,False
8,predictionio,apache/predictionio,apache,"PredictionIO, a machine learning server for developers and ML engineers.",Scala,12532,1922,80,2013-01-25T19:42:32Z,2025-09-20T12:21:39Z,https://github.com/apache/predictionio,https://predictionio.apache.org,Apache License 2.0,36295,False,True
9,CMAK,yahoo/CMAK,yahoo,CMAK is a tool for managing Apache Kafka clusters,Scala,11931,2499,520,2015-01-28T18:33:21Z,2025-09-21T03:08:47Z,https://github.com/yahoo/CMAK,,Apache License 2.0,4066,False,False
10,bfg-repo-cleaner,rtyley/bfg-repo-cleaner,rtyley,"Removes large or troublesome blobs like git-filter-branch does, but faster. And written in Scala",Scala,11754,569,275,2012-12-21T00:14:20Z,2025-09-20T21:43:50Z,https://github.com/rtyley/bfg-repo-cleaner,https://rtyley.github.io/bfg-repo-cleaner/,GNU General Public License v3.0,1992,False,False
