排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,awesome-ios,vsouza/awesome-ios,vsouza,"A curated list of awesome iOS ecosystem, including Objective-C and Swift Projects ",Swift,49489,6915,12,2014-07-10T16:03:45Z,2025-07-28T09:31:56Z,https://github.com/vsouza/awesome-ios,http://awesomeios.dev,MIT License,13952,False,False
2,Alamofire,Alamofire/Alamofire,Alamofire,Elegant HTTP Networking in Swift,Swift,42025,7624,51,2014-07-31T05:56:19Z,2025-07-28T09:46:54Z,https://github.com/Alamofire/Alamofire,,MIT License,40226,False,False
3,iina,iina/iina,iina,The modern video player for macOS.,Swift,41159,2652,1795,2016-12-19T07:18:45Z,2025-07-28T07:41:08Z,https://github.com/iina/iina,https://iina.io,GNU General Public License v3.0,277015,False,False
4,ShadowsocksX-NG,shadowsocks/ShadowsocksX-NG,shadowsocks,Next Generation of ShadowsocksX,Swift,32805,7905,312,2016-06-10T11:49:00Z,2025-07-28T09:00:59Z,https://github.com/shadowsocks/ShadowsocksX-NG,,GNU General Public License v3.0,50660,False,False
5,stats,exelban/stats,exelban,macOS system monitor in your menu bar,Swift,32682,1035,29,2019-05-29T19:24:56Z,2025-07-28T09:02:00Z,https://github.com/exelban/stats,https://mac-stats.com,MIT License,57892,False,False
6,MonitorControl,MonitorControl/MonitorControl,MonitorControl,🖥 Control your display's brightness & volume on your Mac as if it was a native Apple Display. Use Apple Keyboard keys or custom shortcuts. Shows the native macOS OSDs.,Swift,30471,871,12,2017-09-16T21:13:40Z,2025-07-28T09:55:31Z,https://github.com/MonitorControl/MonitorControl,https://monitorcontrol.app,MIT License,29991,False,False
7,UTM,utmapp/UTM,utmapp,Virtual machines for iOS and macOS,Swift,30270,1495,906,2019-04-12T16:09:24Z,2025-07-28T08:44:40Z,https://github.com/utmapp/UTM,https://getutm.app,Apache License 2.0,50262,False,False
8,swift-algorithm-club,kodecocodes/swift-algorithm-club,kodecocodes,"Algorithms and data structures in Swift, with explanations!",Swift,29089,5004,62,2016-01-26T17:56:12Z,2025-07-27T19:20:07Z,https://github.com/kodecocodes/swift-algorithm-club,,MIT License,14083,False,False
9,Charts,ChartsOrg/Charts,ChartsOrg,Beautiful charts for iOS/tvOS/OSX! The Apple side of the crossplatform MPAndroidChart.,Swift,27921,6043,989,2015-03-20T10:49:12Z,2025-07-27T19:20:04Z,https://github.com/ChartsOrg/Charts,,Apache License 2.0,193888,False,False
10,Rectangle,rxhanson/Rectangle,rxhanson,Move and resize windows on macOS with keyboard shortcuts and snap areas,Swift,27328,842,85,2019-06-21T21:34:53Z,2025-07-28T08:24:23Z,https://github.com/rxhanson/Rectangle,https://rectangleapp.com,Other,5251,False,False
