排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,freeCodeCamp,freeCodeCamp/freeCodeCamp,freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,425484,41140,306,2014-12-24T17:49:19Z,2025-08-11T02:08:25Z,https://github.com/freeCodeCamp/freeCodeCamp,https://contribute.freecodecamp.org,"BSD 3-Clause ""New"" or ""Revised"" License",510128,False,False
2,developer-roadmap,kamranahmedse/developer-roadmap,kamranahmedse,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,333491,42544,255,2017-03-15T13:45:52Z,2025-08-11T02:10:07Z,https://github.com/kamranahmedse/developer-roadmap,https://roadmap.sh,Other,306750,False,False
3,vue,vuejs/vue,vuejs,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,209254,33736,601,2013-07-29T03:24:51Z,2025-08-10T20:44:46Z,https://github.com/vuejs/vue,http://v2.vuejs.org,MIT License,32152,False,False
4,vscode,microsoft/vscode,microsoft,Visual Studio Code,TypeScript,175602,34282,12606,2015-09-03T20:23:38Z,2025-08-11T02:08:15Z,https://github.com/microsoft/vscode,https://code.visualstudio.com,MIT License,1051047,False,False
5,n8n,n8n-io/n8n,n8n-io,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",TypeScript,128475,39627,999,2019-06-22T09:24:21Z,2025-08-11T02:08:43Z,https://github.com/n8n-io/n8n,https://n8n.io,Other,242128,False,False
6,tech-interview-handbook,yangshun/tech-interview-handbook,yangshun,💯 Curated coding interview preparation materials for busy software engineers,TypeScript,128421,15630,54,2016-07-05T05:00:48Z,2025-08-10T23:19:16Z,https://github.com/yangshun/tech-interview-handbook,https://www.techinterviewhandbook.org,MIT License,32795,False,False
7,dify,langgenius/dify,langgenius,Production-ready platform for agentic workflow development.,TypeScript,110372,16853,777,2023-04-12T07:40:24Z,2025-08-11T02:05:05Z,https://github.com/langgenius/dify,https://dify.ai,Other,109283,False,False
8,TypeScript,microsoft/TypeScript,microsoft,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,TypeScript,105568,12957,6048,2014-06-17T15:28:39Z,2025-08-11T01:28:07Z,https://github.com/microsoft/TypeScript,https://www.typescriptlang.org,Apache License 2.0,2952157,False,False
9,excalidraw,excalidraw/excalidraw,excalidraw,Virtual whiteboard for sketching hand-drawn like diagrams,TypeScript,105156,10517,2289,2020-01-02T01:04:43Z,2025-08-11T02:02:11Z,https://github.com/excalidraw/excalidraw,https://excalidraw.com,MIT License,93508,False,False
10,angular,angular/angular,angular,Deliver web apps with confidence 🚀,TypeScript,98454,26494,1570,2014-09-18T16:12:01Z,2025-08-11T02:11:41Z,https://github.com/angular/angular,https://angular.dev,MIT License,561455,False,False
11,material-ui,mui/material-ui,mui,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,TypeScript,96337,32618,1764,2014-08-18T19:11:54Z,2025-08-11T02:08:24Z,https://github.com/mui/material-ui,https://mui.com/material-ui/,MIT License,692657,False,False
12,iptv,iptv-org/iptv,iptv-org,Collection of publicly available IPTV channels from all over the world,TypeScript,96076,3841,429,2018-11-14T22:00:57Z,2025-08-11T02:11:58Z,https://github.com/iptv-org/iptv,https://iptv-org.github.io,The Unlicense,974031,False,False
