排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,freeCodeCamp,freeCodeCamp/freeCodeCamp,freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,428482,41673,326,2014-12-24T17:49:19Z,2025-09-22T01:52:44Z,https://github.com/freeCodeCamp/freeCodeCamp,https://contribute.freecodecamp.org,"BSD 3-Clause ""New"" or ""Revised"" License",515931,False,False
2,build-your-own-x,codecrafters-io/build-your-own-x,codecrafters-io,Master programming by recreating your favorite technologies from scratch.,Markdown,421234,39451,429,2018-05-09T12:03:18Z,2025-09-22T01:55:21Z,https://github.com/codecrafters-io/build-your-own-x,https://codecrafters.io,,1031,False,False
3,awesome,sindresorhus/awesome,sindresorhus,😎 Awesome lists about all kinds of interesting topics,,401586,31655,64,2014-07-11T13:42:37Z,2025-09-22T01:44:39Z,https://github.com/sindresorhus/awesome,,Creative Commons Zero v1.0 Universal,1499,False,False
4,free-programming-books,EbookFoundation/free-programming-books,EbookFoundation,:books: Freely available programming books,Python,369248,64221,26,2013-10-11T06:50:37Z,2025-09-22T01:54:57Z,https://github.com/EbookFoundation/free-programming-books,https://ebookfoundation.github.io/free-programming-books/,Creative Commons Attribution 4.0 International,19697,False,False
5,public-apis,public-apis/public-apis,public-apis,A collective list of free APIs,Python,365661,38394,590,2016-03-20T23:49:42Z,2025-09-22T01:55:37Z,https://github.com/public-apis/public-apis,https://APILayer.com/?utm_source=Github&utm_medium=Referral&utm_campaign=Public-apis-repo,MIT License,4771,False,False
6,developer-roadmap,kamranahmedse/developer-roadmap,kamranahmedse,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,337019,42814,150,2017-03-15T13:45:52Z,2025-09-22T01:52:11Z,https://github.com/kamranahmedse/developer-roadmap,https://roadmap.sh,Other,351304,False,False
7,coding-interview-university,jwasham/coding-interview-university,jwasham,A complete computer science study plan to become a software engineer.,,329161,80588,84,2016-06-06T02:34:12Z,2025-09-22T01:43:06Z,https://github.com/jwasham/coding-interview-university,,Creative Commons Attribution Share Alike 4.0 International,22700,False,False
8,system-design-primer,donnemartin/system-design-primer,donnemartin,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Python,320428,52364,519,2017-02-26T16:15:28Z,2025-09-22T01:52:28Z,https://github.com/donnemartin/system-design-primer,,Other,11239,False,False
9,996.ICU,996icu/996.ICU,996icu,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,,274371,21048,16694,2019-03-26T07:31:14Z,2025-09-22T01:46:05Z,https://github.com/996icu/996.ICU,https://996.icu,Other,189351,False,False
10,awesome-python,vinta/awesome-python,vinta,"An opinionated list of awesome Python frameworks, libraries, software and resources.",Python,260792,26322,490,2014-06-27T21:00:06Z,2025-09-22T01:44:37Z,https://github.com/vinta/awesome-python,https://awesome-python.com/,Other,6870,False,False
