排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,NavierStokesAndEuler,openai/NavierStokesAndEuler,openai,Lean certificates accompanying Navier-Stokes and Euler results,Lean,1861,192,0,2026-09-08T10:53:38Z,2026-09-14T03:27:06Z,https://github.com/openai/NavierStokesAndEuler,,Apache License 2.0,8370,False,False
2,Edge0,Edge0-AI/Edge0,Edge0-AI,,Python,1618,129,13,2026-09-08T13:41:47Z,2026-09-14T04:20:02Z,https://github.com/Edge0-AI/Edge0,,Apache License 2.0,1302,False,False
3,anything2explainer,Vincentwei1021/anything2explainer,Vincentwei1021,"Topic in, narrated explainer video out. A Claude Code / Codex skill that turns any topic into a black-canvas motion-graphics explainer video with TTS voiceover, subtitles and a chapter progress bar. Chinese or English; every frame drawn in code with Remotion.",TypeScript,1198,211,0,2026-09-08T17:19:54Z,2026-09-14T04:22:20Z,https://github.com/Vincentwei1021/anything2explainer,,Other,15425,False,False
4,itsgiving,gazijarin/itsgiving,gazijarin,"Express yourself in meetings (with memes, of course).",Python,819,95,7,2026-09-08T05:02:01Z,2026-09-14T03:58:24Z,https://github.com/gazijarin/itsgiving,,MIT License,35429,False,False
5,Mac-Duo,sumimakito/Mac-Duo,sumimakito,Wish you could bring the iPhone Duo effect to your MacBook?,Swift,807,59,23,2026-09-10T18:55:39Z,2026-09-14T04:21:33Z,https://github.com/sumimakito/Mac-Duo,,Apache License 2.0,543,False,False
6,text-humanizer,SpaceDudem/text-humanizer,SpaceDudem,"text-humanizer is an open-source project designed to convert text generated by AI to its ""humanized"" version. Bypasses the most of AI detectors such as Turnitin or GPTZero",Python,735,110,4,2026-09-08T15:28:28Z,2026-09-14T03:55:15Z,https://github.com/SpaceDudem/text-humanizer,,MIT License,62,False,False
7,short-video-generator-AI,Colafornia/short-video-generator-AI,Colafornia,"Free open-source project designed for turning youtube-viedos into viral short videos. Highlight detection, subtitles, translation, voiceover, all in one for your content.",Python,722,112,0,2026-09-08T14:55:47Z,2026-09-14T03:18:16Z,https://github.com/Colafornia/short-video-generator-AI,,MIT License,804,False,False
8,IDM_Pro_Tool,angusdevgo/IDM_Pro_Tool,angusdevgo,IDM激活与状态维护工具,C#,687,174,3,2026-09-10T09:39:06Z,2026-09-14T04:10:24Z,https://github.com/angusdevgo/IDM_Pro_Tool,,MIT License,397,False,False
9,bank-sampah,Faizpi/bank-sampah,Faizpi,,PHP,646,1,0,2026-09-11T02:13:29Z,2026-09-13T09:31:50Z,https://github.com/Faizpi/bank-sampah,,,9697,False,False
10,viserys-agent,rizqinrr/viserys-agent,rizqinrr,,JavaScript,628,0,0,2026-09-12T16:51:29Z,2026-09-13T15:57:02Z,https://github.com/rizqinrr/viserys-agent,,,376,False,False
