排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,awesome,sindresorhus/awesome,sindresorhus,😎 Awesome lists about all kinds of interesting topics,,465004,34886,73,2014-07-11T13:42:37Z,2026-05-11T03:59:21Z,https://github.com/sindresorhus/awesome,,Creative Commons Zero v1.0 Universal,1561,False,False
2,freeCodeCamp,freeCodeCamp/freeCodeCamp,freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,444466,44506,186,2014-12-24T17:49:19Z,2026-05-11T03:51:07Z,https://github.com/freeCodeCamp/freeCodeCamp,https://contribute.freecodecamp.org,"BSD 3-Clause ""New"" or ""Revised"" License",571799,False,False
3,public-apis,public-apis/public-apis,public-apis,A collective list of free APIs,Python,433904,47507,1311,2016-03-20T23:49:42Z,2026-05-11T04:03:02Z,https://github.com/public-apis/public-apis,https://APILayer.com/?utm_source=Github&utm_medium=Referral&utm_campaign=Public-apis-repo,MIT License,5485,False,False
4,free-programming-books,EbookFoundation/free-programming-books,EbookFoundation,:books: Freely available programming books,Python,388032,66281,79,2013-10-11T06:50:37Z,2026-05-11T03:36:31Z,https://github.com/EbookFoundation/free-programming-books,https://ebookfoundation.github.io/free-programming-books/,Creative Commons Attribution 4.0 International,21280,False,False
5,openclaw,openclaw/openclaw,openclaw,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,TypeScript,370624,76589,7566,2025-11-24T10:16:47Z,2026-05-11T04:03:02Z,https://github.com/openclaw/openclaw,https://openclaw.ai,MIT License,1036705,False,False
6,developer-roadmap,nilbuild/developer-roadmap,nilbuild,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,354546,44052,8,2017-03-15T13:45:52Z,2026-05-11T03:45:09Z,https://github.com/nilbuild/developer-roadmap,https://roadmap.sh,Other,360347,False,False
7,awesome-python,vinta/awesome-python,vinta,"An opinionated list of Python frameworks, libraries, tools, and resources",Python,296981,27859,19,2014-06-27T21:00:06Z,2026-05-11T03:59:21Z,https://github.com/vinta/awesome-python,https://awesome-python.com/,Other,5538,False,False
8,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,,291396,13445,0,2015-06-01T02:33:17Z,2026-05-11T03:45:02Z,https://github.com/awesome-selfhosted/awesome-selfhosted,https://awesome-selfhosted.net/,Other,16917,False,False
9,react,facebook/react,facebook,The library for web and native user interfaces.,JavaScript,244938,51014,1293,2013-05-24T16:15:54Z,2026-05-11T03:43:03Z,https://github.com/facebook/react,https://react.dev,MIT License,970824,False,False
10,linux,torvalds/linux,torvalds,Linux kernel source tree,C,232710,62188,3,2011-09-04T22:48:12Z,2026-05-11T03:28:58Z,https://github.com/torvalds/linux,,Other,6300287,False,False
11,tensorflow,tensorflow/tensorflow,tensorflow,An Open Source Machine Learning Framework for Everyone,C++,195057,75272,5062,2015-11-07T01:19:20Z,2026-05-11T03:24:50Z,https://github.com/tensorflow/tensorflow,https://tensorflow.org,Apache License 2.0,1319884,False,False
12,claw-code,ultraworkers/claw-code,ultraworkers,The repo is finally unlocked. enjoy the party! The fastest repo in history to surpass 100K stars ⭐. Join Discord: https://discord.gg/5TUQKqFWd Built in Rust using oh-my-codex.,Rust,190987,109825,1380,2026-03-31T08:58:08Z,2026-05-11T04:01:24Z,https://github.com/ultraworkers/claw-code,,,11906,False,False
13,n8n,n8n-io/n8n,n8n-io,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",TypeScript,187376,57524,1490,2019-06-22T09:24:21Z,2026-05-11T03:59:30Z,https://github.com/n8n-io/n8n,https://n8n.io,Other,501990,False,False
14,ohmyzsh,ohmyzsh/ohmyzsh,ohmyzsh,"🙃   A delightful community-driven (with 2,500+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",Shell,186913,26366,551,2009-08-28T18:15:37Z,2026-05-11T03:52:12Z,https://github.com/ohmyzsh/ohmyzsh,https://ohmyz.sh,MIT License,13538,False,False
15,superpowers,obra/superpowers,obra,An agentic skills framework & software development methodology that works.,Shell,185539,16488,299,2025-10-09T19:45:18Z,2026-05-11T04:03:01Z,https://github.com/obra/superpowers,,MIT License,2809,False,False
16,vscode,microsoft/vscode,microsoft,Visual Studio Code,TypeScript,184772,39747,17417,2015-09-03T20:23:38Z,2026-05-11T03:49:02Z,https://github.com/microsoft/vscode,https://code.visualstudio.com,MIT License,1249920,False,False
17,AutoGPT,Significant-Gravitas/AutoGPT,Significant-Gravitas,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,184160,46236,390,2023-03-16T09:21:07Z,2026-05-11T03:29:13Z,https://github.com/Significant-Gravitas/AutoGPT,https://agpt.co,Other,569696,False,False
18,everything-claude-code,affaan-m/everything-claude-code,affaan-m,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",JavaScript,178485,27549,177,2026-01-18T00:51:51Z,2026-05-11T04:02:51Z,https://github.com/affaan-m/everything-claude-code,https://ecc.tools,MIT License,31432,False,False
19,flutter,flutter/flutter,flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,Dart,176270,30348,12632,2015-03-06T22:54:58Z,2026-05-11T03:55:03Z,https://github.com/flutter/flutter,https://flutter.dev,"BSD 3-Clause ""New"" or ""Revised"" License",442520,False,False
20,Microsoft-Activation-Scripts,massgravel/Microsoft-Activation-Scripts,massgravel,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, and Online KMS activation methods, along with advanced troubleshooting.",Batchfile,174771,16789,2,2020-01-12T23:03:34Z,2026-05-11T04:00:05Z,https://github.com/massgravel/Microsoft-Activation-Scripts,https://massgrave.dev,GNU General Public License v3.0,12955,False,False
